Prefecture,Sous-prefecture,,Strata,Population,Groupe
Bamingui-Bangoran,Bamingui,,Bamingui_hote,1815.2,hote
Bamingui-Bangoran,Ndélé,,Ndélé_hote,9903.6,hote
Bangui,Bangui,,Bangui_hote,180937.2,hote
Basse-Kotto,Alindao,,Alindao_hote,17714.8,hote
Basse-Kotto,Kembé,,Kembé_hote,10161.8,hote
Basse-Kotto,Mingala,,Mingala_hote,7667.6,hote
Basse-Kotto,Mobaye,,Mobaye_hote,15954.8,hote
Basse-Kotto,Satéma,,Satéma_hote,6224.8,hote
Basse-Kotto,Zangba,,Zangba_hote,9817.8,hote
Haute-Kotto,Bria,,Bria_hote,18996.4,hote
Haute-Kotto,Ouadda,,Ouadda_hote,4147.4,hote
Haute-Kotto,Yalinga,,Yalinga_hote,1339.8,hote
Haut-Mbomou,Bambouti,,Bambouti_hote,192.6,hote
Haut-Mbomou,Djéma,,Djéma_hote,500.6,hote
Haut-Mbomou,Obo,,Obo_hote,8923.8,hote
Haut-Mbomou,Zémio,,Zémio_hote,5998.2,hote
Kémo,Dékoa,,Dékoa_hote,9731.2,hote
Kémo,Mala,,Mala_hote,3848,hote
Kémo,Ndjoukou,,Ndjoukou_hote,7723.6,hote
Kémo,Sibut,,Sibut_hote,10799.2,hote
Lobaye,Boda,,Boda_hote,12811.2,hote
Lobaye,Boganangone,,Boganangone_hote,7200.2,hote
Lobaye,Boganda,,Boganda_hote,3438.6,hote
Lobaye,Mbaïki,,Mbaïki_hote,37784.2,hote
Lobaye,Mongoumba,,Mongoumba_hote,5691,hote
Mambéré-Kadéï,Amada-Gaza,,Amada-Gaza_hote,4656.6,hote
Mambéré-Kadéï,Berbérati,,Berbérati_hote,37523.8,hote
Mambéré-Kadéï,Carnot,,Carnot_hote,25136.6,hote
Mambéré-Kadéï,Dédé-Mokouba,,Dédé-Mokouba_hote,5375,hote
Mambéré-Kadéï,Gadzi,,Gadzi_hote,14600.8,hote
Mambéré-Kadéï,Gamboula,,Gamboula_hote,8041.2,hote
Mambéré-Kadéï,Sosso-Nakombo,,Sosso-Nakombo_hote,3559.2,hote
Mbomou,Bakouma,,Bakouma_hote,5848.2,hote
Mbomou,Bangassou,,Bangassou_hote,17603.6,hote
Mbomou,Gambo,,Gambo_hote,5537,hote
Mbomou,Ouango,,Ouango_hote,11603.8,hote
Mbomou,Rafai,,Rafai_hote,3868.4,hote
Nana-Gribizi,Kaga-Bandoro,,Kaga-Bandoro_hote,26201.4,hote
Nana-Gribizi,Mbrès,,Mbrès_hote,5737.2,hote
Nana-Mambéré,Abba,,Abba_hote,6041.2,hote
Nana-Mambéré,Baboua,,Baboua_hote,14283.2,hote
Nana-Mambéré,Baoro,,Baoro_hote,9709.8,hote
Nana-Mambéré,Bouar,,Bouar_hote,33310.4,hote
Ombella M'Poko,Bimbo,,Bimbo_hote,59525.2,hote
Ombella M'Poko,Boali,,Boali_hote,6613.6,hote
Ombella M'Poko,Bogangolo,,Bogangolo_hote,1994.6,hote
Ombella M'Poko,Bossembélé,,Bossembélé_hote,8920.2,hote
Ombella M'Poko,Damara,,Damara_hote,7738.6,hote
Ombella M'Poko,Yaloké,,Yaloké_hote,11913.6,hote
Ouaka,Bakala,,Bakala_hote,2217.8,hote
Ouaka,Bambari,,Bambari_hote,31777.6,hote
Ouaka,Grimari,,Grimari_hote,10409.6,hote
Ouaka,Ippy,,Ippy_hote,11460.4,hote
Ouaka,Kouango,,Kouango_hote,19148,hote
Ouham,Batangafo,,Batangafo_hote,17082.2,hote
Ouham,Bossangoa,,Bossangoa_hote,33739.8,hote
Ouham,Bouca,,Bouca_hote,14867.4,hote
Ouham,Kabo,,Kabo_hote,10923.2,hote
Ouham,Markounda,,Markounda_hote,4932.2,hote
Ouham,Nana-Bakassa,,Nana-Bakassa_hote,12536.8,hote
Ouham,Nangha Boguila,,Nangha Boguila_hote,6010.4,hote
Ouham Pendé,Bocaranga,,Bocaranga_hote,21981.2,hote
Ouham Pendé,Bossemtélé,,Bossemtélé_hote,4886,hote
Ouham Pendé,Bozoum,,Bozoum_hote,14204.8,hote
Ouham Pendé,Koui,,Koui_hote,8029.2,hote
Ouham Pendé,Ngaoundaye,,Ngaoundaye_hote,24603.2,hote
Ouham Pendé,Paoua,,Paoua_hote,43001.8,hote
Sangha-Mbaéré,Bambio,,Bambio_hote,3000.6,hote
Sangha-Mbaéré,Bayanga,,Bayanga_hote,2656.2,hote
Sangha-Mbaéré,Nola,,Nola_hote,21743.6,hote
Vakaga,Birao,,Birao_hote,13099.6,hote
Vakaga,Ouanda-Djallé,,Ouanda-Djallé_hote,1066,hote
Bamingui-Bangoran,Ndélé,,Ndélé_IDP_site,80,IDP_site
Basse-Kotto,Alindao,,Alindao_IDP_site,8972,IDP_site
Haute-Kotto,Bria,,Bria_IDP_site,9466,IDP_site
Haute-Kotto,Yalinga,,Yalinga_IDP_site,28,IDP_site
Haut-Mbomou,Obo,,Obo_IDP_site,759,IDP_site
Haut-Mbomou,Zémio,,Zémio_IDP_site,773,IDP_site
Mbomou,Bangassou,,Bangassou_IDP_site,335,IDP_site
Mbomou,Rafai,,Rafai_IDP_site,933,IDP_site
Nana-Gribizi,Kaga-Bandoro,,Kaga-Bandoro_IDP_site,5589,IDP_site
