,,,,,Personnes déplacées internes,,,,,Personnes retournées de RCA (Ex-PDI),,,,,Personnes retournées en provenance d'autre pays,,,,,source d'information (Nbre),Qualité de la données,,,
_ADM1_NAME,_ADM2_NAME,_ADM3_NAME,_V_CODE,_Village,idps,hh_idp,ind_idp,abris_pdi_site,abris_pdi_hors_site,retournes,hh_ret_rca,ind_ret_rca,abris_ret_site,abris_ret_hors_site,retournes_etrangers,hh_ret_oth,ind_ret_oth,abris_reto_site,abris_reto_hors_site,Nbre_Informateurs_cles,coherence_informateurs,coherence_observation,existence_preuves,perception_enumerateur
Bamingui-Bangoran,Bamingui,Vassako,CF5121_ZIG_0000,ZIGNA,oui,96,489,0,96,oui,124,624,0,124,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_MBE_0000,MBENGOU,oui,77,390,0,77,oui,40,215,0,40,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_BAL_0001,BALOUBA,oui,48,238,0,48,oui,42,216,0,42,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_BOR_0000,BORNO,oui,35,192,0,35,oui,55,240,0,55,oui,3,20,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_WAN_0000,WANGO,oui,35,170,0,35,oui,16,90,0,16,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_DOU_0000,DOUMOU,oui,30,153,0,30,oui,148,737,0,148,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_LAN_0000,LANDO,oui,28,147,0,28,oui,92,463,0,92,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_KPO_0000,KPOLMONGUE,oui,22,107,0,22,oui,13,69,0,13,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_BAN_0000,BANGOLET,oui,20,110,0,20,oui,15,70,0,15,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_DAB_0000,DABOU,oui,16,86,0,16,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_YAM_0000,YAMBALA,oui,13,88,0,13,oui,6,21,0,6,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_KAG_0000,KAGANZE,oui,12,68,0,12,oui,4,30,0,4,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_YAN_0000,YANDA,oui,11,74,0,11,oui,12,77,0,12,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_BAL_0000,BALEYAGBA,oui,8,38,0,8,oui,25,147,0,25,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_GUI_0000,GUIRRA,oui,5,32,0,5,oui,10,56,0,10,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_NIA_0000,NIANGO,oui,5,27,0,5,oui,63,319,0,63,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Bamingui,Vassako,CF5121_ECO_0000,ECOFAUNE PLUS,oui,1,1,0,1,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_ALI_0001,ALIOU,oui,15,98,0,15,oui,5,35,0,5,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_BOR_0000,BORNOU,oui,25,130,0,25,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_CIT_0000,CITE DE L'AMITIE,oui,80,428,0,80,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_SOU_0000,SOKOUMBA,oui,3,20,0,3,non,0,0,0,0,oui,52,243,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_HAO_0002,HAOUSSA 2,oui,28,86,0,28,oui,3,7,0,3,oui,37,66,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_GOU_0001,GOUZBEDA,oui,29,140,0,29,oui,2,11,0,2,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_GOZ_0001,GOZAMAR,oui,80,302,80,0,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_GOZ_0000,GOZAMAR 3,oui,5,22,0,5,oui,10,60,0,10,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_NGA_0000,NGADJA,oui,25,141,0,25,oui,9,40,0,9,oui,33,172,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_HAO_0001,HAOUSSA 1,oui,10,62,0,10,oui,66,268,0,66,oui,1,4,0,,3,oui_majorite,oui_majorite,en_partie,moyen
