PName1,PName2,PName3,PName4,RowcaCode4,DESCRIPTIO,CNTRY_NAME,ADM1_NAME,ADM2_NAME,ADM3_NAME,RowcaCode1,RowcaCode2,RowcaCode3
Abba,Abba-Centre,0,0,CAF0220040010001,Capital of Sub-prefecture,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Abbo Bogaki, ,0,0,CAF0220040010002,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Abbo Bougrma,Abba Bougrima,0,0,CAF0220040010003,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Babaza 1,Aiba-Bangbassa,0,0,CAF0220040010004,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Bondjo-Kombo, ,0,0,CAF0220040010005,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Boun, ,0,0,CAF0220040010006,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Camp-Dolliac,Camp Dullac,0,0,CAF0220040010007,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Gbading, ,0,0,CAF0220040010008,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Gbagaza, ,0,0,CAF0220040010009,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Gboula, ,0,0,CAF0220040010010,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Gobolo, ,0,0,CAF0220040010011,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Kamana, ,0,0,CAF0220040010012,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Koe,Koe,0,0,CAF0220040010013,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Kpetene, ,0,0,CAF0220040010014,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Kpetene, ,0,0,CAF0220040010015,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Lago-Gbaninga, ,0,0,CAF0220040010016,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Lamy-Pong, ,0,0,CAF0220040010017,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Marigot, ,0,0,CAF0220040010018,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Mere-Bodetoro,Mere Boudoytoro,0,0,CAF0220040010019,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Merre 2, ,0,0,CAF0220040010020,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Nagbagbo, ,0,0,CAF0220040010021,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Ndiba 2, ,0,0,CAF0220040010022,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Ndiba 4, ,0,0,CAF0220040010023,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Ndiba Haoussa, ,0,0,CAF0220040010024,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Ndiba-Mole,Ndiba Molle,0,0,CAF0220040010025,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Ndoke, ,0,0,CAF0220040010026,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Ngbafio 1, ,0,0,CAF0220040010027,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Noubewina, ,0,0,CAF0220040010028,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Oui-Maye,Oui-Maye,0,0,CAF0220040010029,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Sagani, ,0,0,CAF0220040010030,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Samare, ,0,0,CAF0220040010031,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
Tikiri, ,0,0,CAF0220040010032,Village,CAF,Nana-Mambere,Abba,Abba,CAF022,CAF022004,CAF022004001
