research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
msni,education,,,,education,numerical,
msni,fsl,,,,fsl,numerical,
msni,health,,,,health,numerical,
msni,protection,,,,protection,numerical,
msni,shelter,,,,shelter,numerical,
msni,wash,,,,wash,numerical,
msni,capacity_gaps,,,,capacity_gaps,numerical,
msni,impact_1,,,,impact_1,numerical,
msni,impact_2,,,,impact_2,numerical,
msni,impact,,,,impact_final,numerical,
msni,msni_score_1,,,,msni_score_1,numerical,
msni,msni_score_2,,,,msni_score_2,numerical,
msni,msni_score,,,,msni_score_final,numerical,
msni,education,,,,education_cat,categorical,
msni,fsl,,,,fsl_cat,categorical,
msni,health,,,,health_cat,categorical,
msni,protection,,,,protection_cat,categorical,
msni,shelter,,,,shelter_cat,categorical,
msni,wash,,,,wash_cat,categorical,
msni,capacity_gaps,,,,capacity_gaps_cat,categorical,
msni,impact_1,,,,impact_cat_1,categorical,
msni,impact_2,,,,impact_cat_2,categorical,
msni,impact,,,,impact_cat,categorical,
msni,msni_score_1,,,,msni_score_cat_1,categorical,
msni,msni_score_2,,,,msni_score_cat_2,categorical,
msni,msni_score,,,,msni_score_cat,categorical,
urban_rural,urban_rural,,,,urban_rural,categorical,
msni,health_prot_score,,,,health_prot_score,categorical,
msni,prot_shelter_score,,,,prot_shelter_score,categorical,
msni,health_shelter_score,,,,health_shelter_score,categorical,
msni,wash_fsl_score,,,,wash_fsl_score,categorical,
msni,wash_capgaps_score,,,,wash_capgaps_score,categorical,
msni,fsl_capgaps_score,,,,fsl_capgaps_score,categorical,
msni,lsg_3,,,,lsg_sev_score_3,categorical,
