Admin2,Population,Groupe,stratum
Abba,"6,041",hote,Abba_hote
Alindao,"17,715",hote,Alindao_hote
Amada-Gaza,"4,657",hote,Amada-Gaza_hote
Baboua,"14,283",hote,Baboua_hote
Bakala,"2,218",hote,Bakala_hote
Bakouma,"5,848",hote,Bakouma_hote
Bambari,"31,778",hote,Bambari_hote
Bambio,"3,001",hote,Bambio_hote
Bambouti,193,hote,Bambouti_hote
Bamingui,"1,815",hote,Bamingui_hote
Bangassou,"17,604",hote,Bangassou_hote
Bangui,"180,937",hote,Bangui_hote
Baoro,"9,710",hote,Baoro_hote
Batangafo,"17,082",hote,Batangafo_hote
Bayanga,"2,656",hote,Bayanga_hote
Berbérati,"37,524",hote,Berbérati_hote
Bimbo,"59,525",hote,Bimbo_hote
Birao,"13,100",hote,Birao_hote
Boali,"6,614",hote,Boali_hote
Bocaranga,"21,981",hote,Bocaranga_hote
Boda,"12,811",hote,Boda_hote
Boganangone,"7,200",hote,Boganangone_hote
Boganda,"3,439",hote,Boganda_hote
Bogangolo,"1,995",hote,Bogangolo_hote
Bossangoa,"33,740",hote,Bossangoa_hote
Bossembélé,"8,920",hote,Bossembélé_hote
Bossemtélé,"4,886",hote,Bossemtélé_hote
Bouar,"33,310",hote,Bouar_hote
Bouca,"14,867",hote,Bouca_hote
Bozoum,"14,205",hote,Bozoum_hote
Bria,"18,996",hote,Bria_hote
Carnot,"25,137",hote,Carnot_hote
Damara,"7,739",hote,Damara_hote
Dédé-Mokouba,"5,375",hote,Dédé-Mokouba_hote
Dékoa,"9,731",hote,Dékoa_hote
Djéma,501,hote,Djéma_hote
Gadzi,"14,601",hote,Gadzi_hote
Gambo,"5,537",hote,Gambo_hote
Gamboula,"8,041",hote,Gamboula_hote
Grimari,"10,410",hote,Grimari_hote
Ippy,"11,460",hote,Ippy_hote
Kabo,"10,923",hote,Kabo_hote
Kaga-Bandoro,"26,201",hote,Kaga-Bandoro_hote
Kembé,"10,162",hote,Kembé_hote
Kouango,"19,148",hote,Kouango_hote
Koui,"8,029",hote,Koui_hote
Mala,"3,848",hote,Mala_hote
Markounda,"4,932",hote,Markounda_hote
Mbaïki,"37,784",hote,Mbaïki_hote
Mbrès,"5,737",hote,Mbrès_hote
Mingala,"7,668",hote,Mingala_hote
Mobaye,"15,955",hote,Mobaye_hote
Mongoumba,"5,691",hote,Mongoumba_hote
Nana-Bakassa,"12,537",hote,Nana-Bakassa_hote
Nangha Boguila,"6,010",hote,Nangha Boguila_hote
Ndélé,"9,904",hote,Ndélé_hote
Ndjoukou,"7,724",hote,Ndjoukou_hote
Ngaoundaye,"24,603",hote,Ngaoundaye_hote
Nola,"21,744",hote,Nola_hote
Obo,"8,924",hote,Obo_hote
Ouadda,"4,147",hote,Ouadda_hote
Ouanda-Djallé,"1,066",hote,Ouanda-Djallé_hote
Ouango,"11,604",hote,Ouango_hote
Paoua,"43,002",hote,Paoua_hote
Rafai,"3,868",hote,Rafai_hote
Satéma,"6,225",hote,Satéma_hote
Sibut,"10,799",hote,Sibut_hote
Sosso-Nakombo,"3,559",hote,Sosso-Nakombo_hote
Yalinga,"1,340",hote,Yalinga_hote
Yaloké,"11,914",hote,Yaloké_hote
Zangba,"9,818",hote,Zangba_hote
Zémio,"5,998",hote,Zémio_hote
Alindao,"8,972",deplaces_site,Alindao_deplaces_site
Bambari,"7,938",deplaces_site,Bambari_deplaces_site
Bangassou,335,deplaces_site,Bangassou_deplaces_site
Batangafo,"1,132",deplaces_site,Batangafo_deplaces_site
Bouca,683,deplaces_site,Bouca_deplaces_site
Bria,"9,466",deplaces_site,Bria_deplaces_site
Kabo,"1,774",deplaces_site,Kabo_deplaces_site
Kaga-Bandoro,"5,589",deplaces_site,Kaga-Bandoro_deplaces_site
Markounda,100,deplaces_site,Markounda_deplaces_site
Ndélé,80,deplaces_site,Ndélé_deplaces_site
Obo,759,deplaces_site,Obo_deplaces_site
Paoua,0,deplaces_site,Paoua_deplaces_site
Rafai,933,deplaces_site,Rafai_deplaces_site
Yalinga,28,deplaces_site,Yalinga_deplaces_site
Zémio,773,deplaces_site,Zémio_deplaces_site
Abba,2,deplaces_FA,Abba_deplaces_FA
Alindao,"3,543",deplaces_FA,Alindao_deplaces_FA
Amada-Gaza,931,deplaces_FA,Amada-Gaza_deplaces_FA
Baboua,"1,885",deplaces_FA,Baboua_deplaces_FA
Bakala,564,deplaces_FA,Bakala_deplaces_FA
Bakouma,603,deplaces_FA,Bakouma_deplaces_FA
Bambari,"5,177",deplaces_FA,Bambari_deplaces_FA
Bambouti,131,deplaces_FA,Bambouti_deplaces_FA
Bamingui,462,deplaces_FA,Bamingui_deplaces_FA
Bangassou,"9,628",deplaces_FA,Bangassou_deplaces_FA
Bangui,"36,187",deplaces_FA,Bangui_deplaces_FA
Baoro,6,deplaces_FA,Baoro_deplaces_FA
Berbérati,"7,505",deplaces_FA,Berbérati_deplaces_FA
Bimbo,"2,297",deplaces_FA,Bimbo_deplaces_FA
Birao,265,deplaces_FA,Birao_deplaces_FA
Boali,300,deplaces_FA,Boali_deplaces_FA
Bocaranga,778,deplaces_FA,Bocaranga_deplaces_FA
Boda,"2,562",deplaces_FA,Boda_deplaces_FA
Boganangone,"1,440",deplaces_FA,Boganangone_deplaces_FA
Boganda,688,deplaces_FA,Boganda_deplaces_FA
Bogangolo,186,deplaces_FA,Bogangolo_deplaces_FA
Bossangoa,18,deplaces_FA,Bossangoa_deplaces_FA
Bossembélé,400,deplaces_FA,Bossembélé_deplaces_FA
Bossemtélé,20,deplaces_FA,Bossemtélé_deplaces_FA
Bouar,"2,974",deplaces_FA,Bouar_deplaces_FA
Bouca,443,deplaces_FA,Bouca_deplaces_FA
Bozoum,85,deplaces_FA,Bozoum_deplaces_FA
Bria,"6,037",deplaces_FA,Bria_deplaces_FA
Carnot,"5,027",deplaces_FA,Carnot_deplaces_FA
Damara,96,deplaces_FA,Damara_deplaces_FA
Dédé-Mokouba,"1,075",deplaces_FA,Dédé-Mokouba_deplaces_FA
Dékoa,"1,946",deplaces_FA,Dékoa_deplaces_FA
Djéma,"3,637",deplaces_FA,Djéma_deplaces_FA
Gadzi,"2,920",deplaces_FA,Gadzi_deplaces_FA
Gambo,500,deplaces_FA,Gambo_deplaces_FA
Gamboula,"1,608",deplaces_FA,Gamboula_deplaces_FA
Grimari,357,deplaces_FA,Grimari_deplaces_FA
Ippy,60,deplaces_FA,Ippy_deplaces_FA
Kabo,923,deplaces_FA,Kabo_deplaces_FA
Kaga-Bandoro,"2,277",deplaces_FA,Kaga-Bandoro_deplaces_FA
Kembé,"2,032",deplaces_FA,Kembé_deplaces_FA
Koui,273,deplaces_FA,Koui_deplaces_FA
Mala,770,deplaces_FA,Mala_deplaces_FA
Markounda,551,deplaces_FA,Markounda_deplaces_FA
Mbaïki,"7,557",deplaces_FA,Mbaïki_deplaces_FA
Mbrès,707,deplaces_FA,Mbrès_deplaces_FA
Mingala,"1,534",deplaces_FA,Mingala_deplaces_FA
Mobaye,54,deplaces_FA,Mobaye_deplaces_FA
Mongoumba,"1,138",deplaces_FA,Mongoumba_deplaces_FA
Ndélé,"1,329",deplaces_FA,Ndélé_deplaces_FA
Ndjoukou,"1,545",deplaces_FA,Ndjoukou_deplaces_FA
Ngaoundaye,676,deplaces_FA,Ngaoundaye_deplaces_FA
Nola,571,deplaces_FA,Nola_deplaces_FA
Obo,"3,416",deplaces_FA,Obo_deplaces_FA
Ouanda-Djallé,40,deplaces_FA,Ouanda-Djallé_deplaces_FA
Ouango,"2,257",deplaces_FA,Ouango_deplaces_FA
Paoua,923,deplaces_FA,Paoua_deplaces_FA
Rafai,"2,663",deplaces_FA,Rafai_deplaces_FA
Satéma,"2,478",deplaces_FA,Satéma_deplaces_FA
Sibut,"2,160",deplaces_FA,Sibut_deplaces_FA
Sosso-Nakombo,712,deplaces_FA,Sosso-Nakombo_deplaces_FA
Yalinga,164,deplaces_FA,Yalinga_deplaces_FA
Yaloké,206,deplaces_FA,Yaloké_deplaces_FA
Zémio,"2,812",deplaces_FA,Zémio_deplaces_FA
Alindao,"1,879",retournes,Alindao_retournes
Bakala,69,retournes,Bakala_retournes
Bakouma,921,retournes,Bakouma_retournes
Bambari,"1,403",retournes,Bambari_retournes
Bambouti,49,retournes,Bambouti_retournes
Bamingui,668,retournes,Bamingui_retournes
Bangassou,"6,794",retournes,Bangassou_retournes
Bangui,"7,347",retournes,Bangui_retournes
Baoro,"1,809",retournes,Baoro_retournes
Batangafo,"9,499",retournes,Batangafo_retournes
Bocaranga,"5,931",retournes,Bocaranga_retournes
Bossemtélé,216,retournes,Bossemtélé_retournes
Bouar,"2,363",retournes,Bouar_retournes
Bouca,"1,950",retournes,Bouca_retournes
Bozoum,"1,096",retournes,Bozoum_retournes
Bria,"1,431",retournes,Bria_retournes
Carnot,788,retournes,Carnot_retournes
Djéma,123,retournes,Djéma_retournes
Gadzi,870,retournes,Gadzi_retournes
Gambo,"1,054",retournes,Gambo_retournes
Gamboula,51,retournes,Gamboula_retournes
Grimari,89,retournes,Grimari_retournes
Ippy,132,retournes,Ippy_retournes
Kabo,729,retournes,Kabo_retournes
Kaga-Bandoro,"21,170",retournes,Kaga-Bandoro_retournes
Kembé,31,retournes,Kembé_retournes
Kouango,543,retournes,Kouango_retournes
Koui,"2,555",retournes,Koui_retournes
Markounda,"4,319",retournes,Markounda_retournes
Mbrès,"2,872",retournes,Mbrès_retournes
Mobaye,"2,271",retournes,Mobaye_retournes
Nangha Boguila,479,retournes,Nangha Boguila_retournes
Ndélé,858,retournes,Ndélé_retournes
Ngaoundaye,"11,195",retournes,Ngaoundaye_retournes
Obo,46,retournes,Obo_retournes
Ouango,"4,311",retournes,Ouango_retournes
Paoua,"23,423",retournes,Paoua_retournes
Rafai,715,retournes,Rafai_retournes
Satéma,314,retournes,Satéma_retournes
Yalinga,610,retournes,Yalinga_retournes
Zémio,"2,747",retournes,Zémio_retournes
