"","dependent.var","dependent.var.value","independent.var","independent.var.value","repeat.var","repeat.var.value","numbers"
"1","educ_5_ecole_acces_1","autre","total","total","admin_1","Bamingui_Bangoran",0.166
"2","educ_5_ecole_acces_1","financier","total","total","admin_1","Ouham",0.23
"3","educ_5_ecole_acces_1","financier","total","total","admin_1","Basse_Kotto",0.226
"4","educ_5_ecole_acces_1","financier","total","total","admin_1","Vakaga",0.305
"5","educ_5_ecole_acces_1","financier","total","total","admin_1","Bangui",0.224
"6","educ_5_ecole_acces_1","financier","total","total","admin_1","Ouaka",0.242
"7","educ_5_ecole_acces_1","financier","total","total","admin_1","Nana_Mambere",0.182
"8","educ_5_ecole_acces_1","financier","total","total","admin_1","Ouham_Pende",0.255
"9","educ_5_ecole_acces_1","financier","total","total","admin_1","Nana_Gribizi",0.261
"10","educ_5_ecole_acces_1","financier","total","total","admin_1","Mbomou",0.25
"11","educ_5_ecole_acces_1","financier","total","total","admin_1","Mambere_Kadei",0.2
"12","educ_5_ecole_acces_1","financier","total","total","admin_1","Ombella_MPoko",0.211
"13","educ_5_ecole_acces_1","financier","total","total","admin_1","Kemo",0.225
"14","educ_5_ecole_acces_1","financier","total","total","admin_1","Haut_Mbomou",0.256
"15","educ_5_ecole_acces_1","financier","total","total","admin_1","Haute_Kotto",0.177
"16","educ_5_ecole_acces_1","financier","total","total","admin_1","Lobaye",0.25
"17","educ_5_ecole_acces_1","financier","total","total","admin_1","Sangha_Mbaere",0.189
"18","wash_22_wash_reponse_1","cash_recipient_eau","total","total","admin_1","Bamingui_Bangoran",0.244
"19","wash_22_wash_reponse_1","cash_recipient_eau","total","total","admin_1","Ouham",0.238
"20","wash_22_wash_reponse_1","prov_recipient","total","total","admin_1","Basse_Kotto",0.23
"21","wash_22_wash_reponse_1","cash_infra","total","total","admin_1","Vakaga",0.192
"22","wash_22_wash_reponse_1","cash_recipient_eau","total","total","admin_1","Bangui",0.154
"23","wash_22_wash_reponse_1","prov_recipient","total","total","admin_1","Ouaka",0.201
"24","wash_22_wash_reponse_1","prov_recipient","total","total","admin_1","Nana_Mambere",0.196
"25","wash_22_wash_reponse_1","prov_recipient","total","total","admin_1","Ouham_Pende",0.2
"26","wash_22_wash_reponse_1","cash_recipient_eau","total","total","admin_1","Nana_Gribizi",0.28
"27","wash_22_wash_reponse_1","cash_recipient_eau","total","total","admin_1","Mbomou",0.295
"28","wash_22_wash_reponse_1","cash_recipient_eau","total","total","admin_1","Mambere_Kadei",0.252
"29","wash_22_wash_reponse_1","cash_recipient_eau","total","total","admin_1","Ombella_MPoko",0.189
"30","wash_22_wash_reponse_1","cash_recipient_eau","total","total","admin_1","Kemo",0.18
"31","wash_22_wash_reponse_1","cash_hygiene","total","total","admin_1","Haut_Mbomou",0.154
"32","wash_22_wash_reponse_1","cash_infra","total","total","admin_1","Haute_Kotto",0.179
"33","wash_22_wash_reponse_1","cash_recipient_eau","total","total","admin_1","Lobaye",0.219
"34","wash_22_wash_reponse_1","cash_recipient_eau","total","total","admin_1","Sangha_Mbaere",0.247
"35","mssc_2_source_rev_1","agric","total","total","admin_1","Bamingui_Bangoran",0.294
"36","mssc_2_source_rev_1","agric","total","total","admin_1","Ouham",0.349
"37","mssc_2_source_rev_1","agric","total","total","admin_1","Basse_Kotto",0.329
"38","mssc_2_source_rev_1","agric","total","total","admin_1","Vakaga",0.347
"39","mssc_2_source_rev_1","petit_commerce","total","total","admin_1","Bangui",0.308
"40","mssc_2_source_rev_1","agric","total","total","admin_1","Ouaka",0.337
"41","mssc_2_source_rev_1","agric","total","total","admin_1","Nana_Mambere",0.355
"42","mssc_2_source_rev_1","agric","total","total","admin_1","Ouham_Pende",0.37
"43","mssc_2_source_rev_1","agric","total","total","admin_1","Nana_Gribizi",0.245
"44","mssc_2_source_rev_1","agric","total","total","admin_1","Mbomou",0.336
"45","mssc_2_source_rev_1","agric","total","total","admin_1","Mambere_Kadei",0.325
"46","mssc_2_source_rev_1","agric","total","total","admin_1","Ombella_MPoko",0.313
"47","mssc_2_source_rev_1","agric","total","total","admin_1","Kemo",0.394
"48","mssc_2_source_rev_1","agric","total","total","admin_1","Haut_Mbomou",0.231
"49","mssc_2_source_rev_1","petit_commerce","total","total","admin_1","Haute_Kotto",0.235
"50","mssc_2_source_rev_1","agric","total","total","admin_1","Lobaye",0.363
"51","mssc_2_source_rev_1","agric","total","total","admin_1","Sangha_Mbaere",0.382
"52","wash_9_insuff_raisons_1","route_non_access","total","total","admin_1","Bamingui_Bangoran",0.248
"53","wash_9_insuff_raisons_1","manque_recip","total","total","admin_1","Ouham",0.314
"54","wash_9_insuff_raisons_1","manque_recip","total","total","admin_1","Basse_Kotto",0.379
"55","wash_9_insuff_raisons_1","manque_recip","total","total","admin_1","Vakaga",0.295
"56","wash_9_insuff_raisons_1","attente_longue","total","total","admin_1","Bangui",0.238
"57","wash_9_insuff_raisons_1","manque_recip","total","total","admin_1","Ouaka",0.347
"58","wash_9_insuff_raisons_1","attente_longue","total","total","admin_1","Nana_Mambere",0.247
"59","wash_9_insuff_raisons_1","manque_recip","total","total","admin_1","Ouham_Pende",0.245
"60","wash_9_insuff_raisons_1","manque_recip","total","total","admin_1","Nana_Gribizi",0.276
"61","wash_9_insuff_raisons_1","manque_recip","total","total","admin_1","Mbomou",0.255
"62","wash_9_insuff_raisons_1","distance","total","total","admin_1","Mambere_Kadei",0.2
"63","wash_9_insuff_raisons_1","manque_recip","total","total","admin_1","Ombella_MPoko",0.292
"64","wash_9_insuff_raisons_1","manque_recip","total","total","admin_1","Kemo",0.323
"65","wash_9_insuff_raisons_1","distance","total","total","admin_1","Haut_Mbomou",0.242
"66","wash_9_insuff_raisons_1","manque_recip","total","total","admin_1","Haute_Kotto",0.215
"67","wash_9_insuff_raisons_1","manque_recip","total","total","admin_1","Lobaye",0.224
"68","wash_9_insuff_raisons_1","manque_recip","total","total","admin_1","Sangha_Mbaere",0.241
"69","nfi_7_assistance_1","argent_nfi_essentiels","total","total","admin_1","Bamingui_Bangoran",0.211
"70","nfi_7_assistance_1","argent_nfi_essentiels","total","total","admin_1","Ouham",0.231
"71","nfi_7_assistance_1","provision_nfi_essentiels","total","total","admin_1","Basse_Kotto",0.25
"72","nfi_7_assistance_1","provision_materiel","total","total","admin_1","Vakaga",0.232
"73","nfi_7_assistance_1","argent_nfi_essentiels","total","total","admin_1","Bangui",0.196
"74","nfi_7_assistance_1","provision_nfi_essentiels","total","total","admin_1","Ouaka",0.244
"75","nfi_7_assistance_1","argent_nfi_essentiels","total","total","admin_1","Nana_Mambere",0.201
"76","nfi_7_assistance_1","provision_abri","total","total","admin_1","Ouham_Pende",0.221
"77","nfi_7_assistance_1","argent_nfi_essentiels","total","total","admin_1","Nana_Gribizi",0.227
"78","nfi_7_assistance_1","argent_materiel","total","total","admin_1","Mbomou",0.228
"79","nfi_7_assistance_1","argent_materiel","total","total","admin_1","Mambere_Kadei",0.183
"80","nfi_7_assistance_1","provision_nfi_essentiels","total","total","admin_1","Ombella_MPoko",0.267
"81","nfi_7_assistance_1","provision_abri","total","total","admin_1","Kemo",0.19
"82","nfi_7_assistance_1","aide_securite","total","total","admin_1","Haut_Mbomou",0.211
"83","nfi_7_assistance_1","provision_abri","total","total","admin_1","Haute_Kotto",0.201
"84","nfi_7_assistance_1","argent_materiel","total","total","admin_1","Lobaye",0.201
"85","nfi_7_assistance_1","argent_materiel","total","total","admin_1","Sangha_Mbaere",0.242
"86","educ_6_reponse_1","cash_frais","total","total","admin_1","Bamingui_Bangoran",0.221
"87","educ_6_reponse_1","cash_frais","total","total","admin_1","Ouham",0.222
"88","educ_6_reponse_1","prov_fournitures","total","total","admin_1","Basse_Kotto",0.221
"89","educ_6_reponse_1","cash_frais","total","total","admin_1","Vakaga",0.245
"90","educ_6_reponse_1","cash_frais","total","total","admin_1","Bangui",0.219
"91","educ_6_reponse_1","prov_fournitures","total","total","admin_1","Ouaka",0.203
"92","educ_6_reponse_1","cash_frais","total","total","admin_1","Nana_Mambere",0.222
"93","educ_6_reponse_1","prov_fournitures","total","total","admin_1","Ouham_Pende",0.222
"94","educ_6_reponse_1","cash_frais","total","total","admin_1","Nana_Gribizi",0.227
"95","educ_6_reponse_1","cash_frais","total","total","admin_1","Mbomou",0.292
"96","educ_6_reponse_1","cash_frais","total","total","admin_1","Mambere_Kadei",0.277
"97","educ_6_reponse_1","cash_frais","total","total","admin_1","Ombella_MPoko",0.195
"98","educ_6_reponse_1","prov_fournitures","total","total","admin_1","Kemo",0.222
"99","educ_6_reponse_1","cash_frais","total","total","admin_1","Haut_Mbomou",0.268
"100","educ_6_reponse_1","cash_frais","total","total","admin_1","Haute_Kotto",0.214
"101","educ_6_reponse_1","cash_frais","total","total","admin_1","Lobaye",0.236
"102","educ_6_reponse_1","cash_fournitures","total","total","admin_1","Sangha_Mbaere",0.315
"103","rep_souhaitee_1","secal","total","total","admin_1","Bamingui_Bangoran",0.3
"104","rep_souhaitee_1","secal","total","total","admin_1","Ouham",0.291
"105","rep_souhaitee_1","secal","total","total","admin_1","Basse_Kotto",0.279
"106","rep_souhaitee_1","secal","total","total","admin_1","Vakaga",0.251
"107","rep_souhaitee_1","wash","total","total","admin_1","Bangui",0.27
"108","rep_souhaitee_1","secal","total","total","admin_1","Ouaka",0.222
"109","rep_souhaitee_1","secal","total","total","admin_1","Nana_Mambere",0.268
"110","rep_souhaitee_1","secal","total","total","admin_1","Ouham_Pende",0.28
"111","rep_souhaitee_1","secal","total","total","admin_1","Nana_Gribizi",0.302
"112","rep_souhaitee_1","secal","total","total","admin_1","Mbomou",0.272
"113","rep_souhaitee_1","secal","total","total","admin_1","Mambere_Kadei",0.29
"114","rep_souhaitee_1","sante","total","total","admin_1","Ombella_MPoko",0.272
"115","rep_souhaitee_1","secal","total","total","admin_1","Kemo",0.262
