"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","ig_1_age","ig_8_statut_groupe",NA,"retournes",37.6533269287419,NA,NA,NA,"admin_0","RCA"
"dependent.var1","ig_1_age","ig_8_statut_groupe",NA,"hote",38.3303062978827,NA,NA,NA,"admin_0","RCA"
"dependent.var2","ig_1_age","ig_8_statut_groupe",NA,"deplaces_site",37.9934103027316,NA,NA,NA,"admin_0","RCA"
"dependent.var3","ig_1_age","ig_8_statut_groupe",NA,"deplaces_FA",37.7170154287071,NA,NA,NA,"admin_0","RCA"
"1","ig_2_sexe","ig_8_statut_groupe","femme","deplaces_FA",0.54503163857692,NA,NA,NA,"admin_0","RCA"
"2","ig_2_sexe","ig_8_statut_groupe","homme","deplaces_FA",0.45496836142308,NA,NA,NA,"admin_0","RCA"
"3","ig_2_sexe","ig_8_statut_groupe","femme","deplaces_site",0.52440369107397,NA,NA,NA,"admin_0","RCA"
"4","ig_2_sexe","ig_8_statut_groupe","homme","deplaces_site",0.47559630892603,NA,NA,NA,"admin_0","RCA"
"5","ig_2_sexe","ig_8_statut_groupe","femme","hote",0.499008558799579,NA,NA,NA,"admin_0","RCA"
"6","ig_2_sexe","ig_8_statut_groupe","homme","hote",0.500991441200421,NA,NA,NA,"admin_0","RCA"
"7","ig_2_sexe","ig_8_statut_groupe","femme","retournes",0.577547634355346,NA,NA,NA,"admin_0","RCA"
"8","ig_2_sexe","ig_8_statut_groupe","homme","retournes",0.422452365644654,NA,NA,NA,"admin_0","RCA"
"125","ig_3_role","ig_8_statut_groupe","non","deplaces_FA",0.232147627651987,NA,NA,NA,"admin_0","RCA"
"210","ig_3_role","ig_8_statut_groupe","oui","deplaces_FA",0.767852372348013,NA,NA,NA,"admin_0","RCA"
"310","ig_3_role","ig_8_statut_groupe","non","deplaces_site",0.157008285687125,NA,NA,NA,"admin_0","RCA"
"410","ig_3_role","ig_8_statut_groupe","oui","deplaces_site",0.842991714312875,NA,NA,NA,"admin_0","RCA"
"510","ig_3_role","ig_8_statut_groupe","non","hote",0.165392926908004,NA,NA,NA,"admin_0","RCA"
"610","ig_3_role","ig_8_statut_groupe","oui","hote",0.834607073091996,NA,NA,NA,"admin_0","RCA"
"710","ig_3_role","ig_8_statut_groupe","non","retournes",0.126768098053533,NA,NA,NA,"admin_0","RCA"
"810","ig_3_role","ig_8_statut_groupe","oui","retournes",0.873231901946468,NA,NA,NA,"admin_0","RCA"
"126","ig_11_idp_rtl","ig_8_statut_groupe","autre","deplaces_FA",0.0189886132277114,NA,NA,NA,"admin_0","RCA"
"211","ig_11_idp_rtl","ig_8_statut_groupe","catastophe_nat","deplaces_FA",0.000397513630312242,NA,NA,NA,"admin_0","RCA"
"311","ig_11_idp_rtl","ig_8_statut_groupe","conflit_arme","deplaces_FA",0.588022836847018,NA,NA,NA,"admin_0","RCA"
"411","ig_11_idp_rtl","ig_8_statut_groupe","conflit_comm","deplaces_FA",0.248430646890024,NA,NA,NA,"admin_0","RCA"
"511","ig_11_idp_rtl","ig_8_statut_groupe","nsp","deplaces_FA",0.00198912826470882,NA,NA,NA,"admin_0","RCA"
"611","ig_11_idp_rtl","ig_8_statut_groupe","recherche_mssc","deplaces_FA",0.0663529896659132,NA,NA,NA,"admin_0","RCA"
"711","ig_11_idp_rtl","ig_8_statut_groupe","recherche_service","deplaces_FA",0.0177572111223287,NA,NA,NA,"admin_0","RCA"
"811","ig_11_idp_rtl","ig_8_statut_groupe","transhumance","deplaces_FA",0.0580610603519847,NA,NA,NA,"admin_0","RCA"
"9","ig_11_idp_rtl","ig_8_statut_groupe","autre","deplaces_site",0.000279843810375792,NA,NA,NA,"admin_0","RCA"
"10","ig_11_idp_rtl","ig_8_statut_groupe","catastophe_nat","deplaces_site",0.003892020048488,NA,NA,NA,"admin_0","RCA"
"11","ig_11_idp_rtl","ig_8_statut_groupe","conflit_arme","deplaces_site",0.846844285555273,NA,NA,NA,"admin_0","RCA"
"12","ig_11_idp_rtl","ig_8_statut_groupe","conflit_comm","deplaces_site",0.13822376232114,NA,NA,NA,"admin_0","RCA"
"13","ig_11_idp_rtl","ig_8_statut_groupe","recherche_service","deplaces_site",0.000602978428948272,NA,NA,NA,"admin_0","RCA"
"14","ig_11_idp_rtl","ig_8_statut_groupe","transhumance","deplaces_site",0.0101571098357744,NA,NA,NA,"admin_0","RCA"
"127","ig_12_idp_length_idp","ig_8_statut_groupe","1_3_mois","deplaces_FA",0.026770940888693,NA,NA,NA,"admin_0","RCA"
"212","ig_12_idp_length_idp","ig_8_statut_groupe","1_mois","deplaces_FA",0.00969903221689336,NA,NA,NA,"admin_0","RCA"
"312","ig_12_idp_length_idp","ig_8_statut_groupe","12_mois_ou_plus","deplaces_FA",0.614537439692968,NA,NA,NA,"admin_0","RCA"
"412","ig_12_idp_length_idp","ig_8_statut_groupe","3_5_mois","deplaces_FA",0.1077398540376,NA,NA,NA,"admin_0","RCA"
"512","ig_12_idp_length_idp","ig_8_statut_groupe","5_12_mois","deplaces_FA",0.231327048349146,NA,NA,NA,"admin_0","RCA"
"612","ig_12_idp_length_idp","ig_8_statut_groupe","nsp","deplaces_FA",0.00992568481469997,NA,NA,NA,"admin_0","RCA"
"712","ig_12_idp_length_idp","ig_8_statut_groupe","1_3_mois","deplaces_site",0.00548189978285217,NA,NA,NA,"admin_0","RCA"
"812","ig_12_idp_length_idp","ig_8_statut_groupe","1_mois","deplaces_site",0.00246984481573775,NA,NA,NA,"admin_0","RCA"
