"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","ig_1_age","sexe_chef_menage",NA,"homme",38.5620744487947,NA,NA,NA,"admin_0","RCA"
"dependent.var1","ig_1_age","sexe_chef_menage",NA,"femme",37.650288023271,NA,NA,NA,"admin_0","RCA"
"1","ig_2_sexe","sexe_chef_menage","femme","femme",0.983127846391001,NA,NA,NA,"admin_0","RCA"
"2","ig_2_sexe","sexe_chef_menage","homme","femme",0.0168721536089987,NA,NA,NA,"admin_0","RCA"
"3","ig_2_sexe","sexe_chef_menage","femme","homme",0.204656843315213,NA,NA,NA,"admin_0","RCA"
"4","ig_2_sexe","sexe_chef_menage","homme","homme",0.795343156684787,NA,NA,NA,"admin_0","RCA"
"110","ig_3_role","sexe_chef_menage","non","femme",0.0860300147142839,NA,NA,NA,"admin_0","RCA"
"210","ig_3_role","sexe_chef_menage","oui","femme",0.913969985285716,NA,NA,NA,"admin_0","RCA"
"310","ig_3_role","sexe_chef_menage","non","homme",0.222304610673263,NA,NA,NA,"admin_0","RCA"
"410","ig_3_role","sexe_chef_menage","oui","homme",0.777695389326737,NA,NA,NA,"admin_0","RCA"
"111","ig_11_idp_rtl","sexe_chef_menage","autre","femme",0.0116769523033961,NA,NA,NA,"admin_0","RCA"
"211","ig_11_idp_rtl","sexe_chef_menage","conflit_arme","femme",0.673040282933075,NA,NA,NA,"admin_0","RCA"
"311","ig_11_idp_rtl","sexe_chef_menage","conflit_comm","femme",0.231832157880102,NA,NA,NA,"admin_0","RCA"
"411","ig_11_idp_rtl","sexe_chef_menage","nsp","femme",0.00390464600131489,NA,NA,NA,"admin_0","RCA"
"5","ig_11_idp_rtl","sexe_chef_menage","recherche_mssc","femme",0.0318323935135596,NA,NA,NA,"admin_0","RCA"
"6","ig_11_idp_rtl","sexe_chef_menage","recherche_service","femme",0.0103831602242626,NA,NA,NA,"admin_0","RCA"
"7","ig_11_idp_rtl","sexe_chef_menage","transhumance","femme",0.0373304071442897,NA,NA,NA,"admin_0","RCA"
"8","ig_11_idp_rtl","sexe_chef_menage","autre","homme",0.0168963754337514,NA,NA,NA,"admin_0","RCA"
"9","ig_11_idp_rtl","sexe_chef_menage","catastophe_nat","homme",0.00194507297904231,NA,NA,NA,"admin_0","RCA"
"10","ig_11_idp_rtl","sexe_chef_menage","conflit_arme","homme",0.627551921269818,NA,NA,NA,"admin_0","RCA"
"11","ig_11_idp_rtl","sexe_chef_menage","conflit_comm","homme",0.218739016485198,NA,NA,NA,"admin_0","RCA"
"12","ig_11_idp_rtl","sexe_chef_menage","recherche_mssc","homme",0.0645673531690866,NA,NA,NA,"admin_0","RCA"
"13","ig_11_idp_rtl","sexe_chef_menage","recherche_service","homme",0.0162783259975916,NA,NA,NA,"admin_0","RCA"
"14","ig_11_idp_rtl","sexe_chef_menage","transhumance","homme",0.0540219346655121,NA,NA,NA,"admin_0","RCA"
"112","ig_12_idp_length_idp","sexe_chef_menage","1_3_mois","femme",0.0201339215549046,NA,NA,NA,"admin_0","RCA"
"212","ig_12_idp_length_idp","sexe_chef_menage","1_mois","femme",0.00421748069540822,NA,NA,NA,"admin_0","RCA"
"312","ig_12_idp_length_idp","sexe_chef_menage","12_mois_ou_plus","femme",0.717971118793272,NA,NA,NA,"admin_0","RCA"
"412","ig_12_idp_length_idp","sexe_chef_menage","3_5_mois","femme",0.104854327454384,NA,NA,NA,"admin_0","RCA"
"510","ig_12_idp_length_idp","sexe_chef_menage","5_12_mois","femme",0.132468477298381,NA,NA,NA,"admin_0","RCA"
"63","ig_12_idp_length_idp","sexe_chef_menage","nsp","femme",0.02035467420365,NA,NA,NA,"admin_0","RCA"
"71","ig_12_idp_length_idp","sexe_chef_menage","1_3_mois","homme",0.0232859789586468,NA,NA,NA,"admin_0","RCA"
"81","ig_12_idp_length_idp","sexe_chef_menage","1_mois","homme",0.010633234557184,NA,NA,NA,"admin_0","RCA"
"91","ig_12_idp_length_idp","sexe_chef_menage","12_mois_ou_plus","homme",0.66438610170238,NA,NA,NA,"admin_0","RCA"
"101","ig_12_idp_length_idp","sexe_chef_menage","3_5_mois","homme",0.0727672719976136,NA,NA,NA,"admin_0","RCA"
"113","ig_12_idp_length_idp","sexe_chef_menage","5_12_mois","homme",0.226336877128302,NA,NA,NA,"admin_0","RCA"
"121","ig_12_idp_length_idp","sexe_chef_menage","nsp","homme",0.00259053565587344,NA,NA,NA,"admin_0","RCA"
"114","ig_14_idp_cond_retour","sexe_chef_menage","regroup_fam","femme",0.181599945510109,NA,NA,NA,"admin_0","RCA"
"213","ig_14_idp_cond_retour","sexe_chef_menage","regroup_fam","homme",0.215489741609443,NA,NA,NA,"admin_0","RCA"
"313","ig_14_idp_cond_retour","sexe_chef_menage","acces_emploi","femme",0.149739398982081,NA,NA,NA,"admin_0","RCA"
"413","ig_14_idp_cond_retour","sexe_chef_menage","acces_emploi","homme",0.181733297993041,NA,NA,NA,"admin_0","RCA"
"511","ig_14_idp_cond_retour","sexe_chef_menage","acces_service","femme",0.163967300714072,NA,NA,NA,"admin_0","RCA"
"64","ig_14_idp_cond_retour","sexe_chef_menage","acces_service","homme",0.179667408362482,NA,NA,NA,"admin_0","RCA"
"72","ig_14_idp_cond_retour","sexe_chef_menage","secu","femme",0.666357306203176,NA,NA,NA,"admin_0","RCA"
"82","ig_14_idp_cond_retour","sexe_chef_menage","secu","homme",0.621093586444092,NA,NA,NA,"admin_0","RCA"
"92","ig_14_idp_cond_retour","sexe_chef_menage","acces_abris","femme",0.338240120242305,NA,NA,NA,"admin_0","RCA"
"102","ig_14_idp_cond_retour","sexe_chef_menage","acces_abris","homme",0.391573313919399,NA,NA,NA,"admin_0","RCA"
"115","ig_14_idp_cond_retour","sexe_chef_menage","acces_abri_origine","femme",0.142244929549085,NA,NA,NA,"admin_0","RCA"
"122","ig_14_idp_cond_retour","sexe_chef_menage","acces_abri_origine","homme",0.130949026496077,NA,NA,NA,"admin_0","RCA"
"131","ig_14_idp_cond_retour","sexe_chef_menage","acces_mssc","femme",0.203923210265342,NA,NA,NA,"admin_0","RCA"
"141","ig_14_idp_cond_retour","sexe_chef_menage","acces_mssc","homme",0.262772508670119,NA,NA,NA,"admin_0","RCA"
"15","ig_14_idp_cond_retour","sexe_chef_menage","acces_ah","femme",0.178481777605401,NA,NA,NA,"admin_0","RCA"
"16","ig_14_idp_cond_retour","sexe_chef_menage","acces_ah","homme",0.173112820242576,NA,NA,NA,"admin_0","RCA"
"17","ig_14_idp_cond_retour","sexe_chef_menage","autre","femme",0.0244474158446928,NA,NA,NA,"admin_0","RCA"
"18","ig_14_idp_cond_retour","sexe_chef_menage","autre","homme",0.044088202572185,NA,NA,NA,"admin_0","RCA"
"19","ig_14_idp_cond_retour","sexe_chef_menage","nsp","femme",0.0128286198904527,NA,NA,NA,"admin_0","RCA"
"20","ig_14_idp_cond_retour","sexe_chef_menage","nsp","homme",0.0164549810674383,NA,NA,NA,"admin_0","RCA"
"116","ig_16_ret_rapat_dest_finale_oui_non","sexe_chef_menage","abri_origine","femme",0.823970628645601,NA,NA,NA,"admin_0","RCA"
"214","ig_16_ret_rapat_dest_finale_oui_non","sexe_chef_menage","autre","femme",0.0346935611787133,NA,NA,NA,"admin_0","RCA"
"314","ig_16_ret_rapat_dest_finale_oui_non","sexe_chef_menage","commune_origine","femme",0.141335810175686,NA,NA,NA,"admin_0","RCA"
"414","ig_16_ret_rapat_dest_finale_oui_non","sexe_chef_menage","abri_origine","homme",0.613678706920625,NA,NA,NA,"admin_0","RCA"
"512","ig_16_ret_rapat_dest_finale_oui_non","sexe_chef_menage","autre","homme",0.0388235881271225,NA,NA,NA,"admin_0","RCA"
"65","ig_16_ret_rapat_dest_finale_oui_non","sexe_chef_menage","commune_origine","homme",0.347497704952252,NA,NA,NA,"admin_0","RCA"
"117","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","abri_detruit","femme",0.720887372170973,NA,NA,NA,"admin_0","RCA"
"215","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","abri_occupe_etat","femme",0.185816870592198,NA,NA,NA,"admin_0","RCA"
"315","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","abri_occupe_tiers","femme",0.000580222931801384,NA,NA,NA,"admin_0","RCA"
"415","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","abri_tropcher","femme",0.0127428456813302,NA,NA,NA,"admin_0","RCA"
