"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","ig_1_age","NA","NA","NA",38.2047905494769,NA,NA,NA,"admin_0","RCA"
"1","ig_2_sexe",NA,"femme",NA,0.511187896083974,NA,NA,NA,"admin_0","RCA"
"2","ig_2_sexe",NA,"homme",NA,0.488812103916026,NA,NA,NA,"admin_0","RCA"
"110","ig_3_role",NA,"non",NA,0.169721904769847,NA,NA,NA,"admin_0","RCA"
"210","ig_3_role",NA,"oui",NA,0.830278095230153,NA,NA,NA,"admin_0","RCA"
"111","ig_11_idp_rtl",NA,"autre",NA,0.015754166889458,NA,NA,NA,"admin_0","RCA"
"211","ig_11_idp_rtl",NA,"catastophe_nat",NA,0.00128252034740666,NA,NA,NA,"admin_0","RCA"
"3","ig_11_idp_rtl",NA,"conflit_arme",NA,0.639353127039835,NA,NA,NA,"admin_0","RCA"
"4","ig_11_idp_rtl",NA,"conflit_comm",NA,0.228483985178308,NA,NA,NA,"admin_0","RCA"
"5","ig_11_idp_rtl",NA,"nsp",NA,0.0015480505282377,NA,NA,NA,"admin_0","RCA"
"6","ig_11_idp_rtl",NA,"recherche_mssc",NA,0.0550705928371187,NA,NA,NA,"admin_0","RCA"
"7","ig_11_idp_rtl",NA,"recherche_service",NA,0.013935606078182,NA,NA,NA,"admin_0","RCA"
"8","ig_11_idp_rtl",NA,"transhumance",NA,0.0445719511014541,NA,NA,NA,"admin_0","RCA"
"112","ig_12_idp_length_idp",NA,"1_3_mois",NA,0.0218125149157675,NA,NA,NA,"admin_0","RCA"
"212","ig_12_idp_length_idp",NA,"1_mois",NA,0.0078446349796641,NA,NA,NA,"admin_0","RCA"
"310","ig_12_idp_length_idp",NA,"12_mois_ou_plus",NA,0.691442788179084,NA,NA,NA,"admin_0","RCA"
"410","ig_12_idp_length_idp",NA,"3_5_mois",NA,0.0860796985174428,NA,NA,NA,"admin_0","RCA"
"510","ig_12_idp_length_idp",NA,"5_12_mois",NA,0.18292257713327,NA,NA,NA,"admin_0","RCA"
"67","ig_12_idp_length_idp",NA,"nsp",NA,0.00989778627477221,NA,NA,NA,"admin_0","RCA"
"113","ig_14_idp_cond_retour",NA,"regroup_fam",NA,0.200937347340303,NA,NA,NA,"admin_0","RCA"
"213","ig_14_idp_cond_retour",NA,"acces_emploi",NA,0.160145644079178,NA,NA,NA,"admin_0","RCA"
"311","ig_14_idp_cond_retour",NA,"acces_service",NA,0.182608970931274,NA,NA,NA,"admin_0","RCA"
"411","ig_14_idp_cond_retour",NA,"secu",NA,0.641542550774267,NA,NA,NA,"admin_0","RCA"
"511","ig_14_idp_cond_retour",NA,"acces_abris",NA,0.363177888769448,NA,NA,NA,"admin_0","RCA"
"68","ig_14_idp_cond_retour",NA,"acces_abri_origine",NA,0.136355315086553,NA,NA,NA,"admin_0","RCA"
"71","ig_14_idp_cond_retour",NA,"acces_mssc",NA,0.236849769337183,NA,NA,NA,"admin_0","RCA"
"81","ig_14_idp_cond_retour",NA,"acces_ah",NA,0.173348342712243,NA,NA,NA,"admin_0","RCA"
"9","ig_14_idp_cond_retour",NA,"autre",NA,0.0362990660167377,NA,NA,NA,"admin_0","RCA"
"10","ig_14_idp_cond_retour",NA,"nsp",NA,0.014516510095166,NA,NA,NA,"admin_0","RCA"
"114","ig_16_ret_rapat_dest_finale_oui_non",NA,"abri_origine",NA,0.701524583786542,NA,NA,NA,"admin_0","RCA"
"214","ig_16_ret_rapat_dest_finale_oui_non",NA,"autre",NA,0.0374527048414795,NA,NA,NA,"admin_0","RCA"
"312","ig_16_ret_rapat_dest_finale_oui_non",NA,"commune_origine",NA,0.261022711371978,NA,NA,NA,"admin_0","RCA"
"115","ig_16_ret_rapat_abri_origine_non_raison",NA,"abri_detruit",NA,0.716026440280018,NA,NA,NA,"admin_0","RCA"
"215","ig_16_ret_rapat_abri_origine_non_raison",NA,"abri_occupe_etat",NA,0.0652460301432956,NA,NA,NA,"admin_0","RCA"
"313","ig_16_ret_rapat_abri_origine_non_raison",NA,"abri_occupe_tiers",NA,0.157601638501847,NA,NA,NA,"admin_0","RCA"
"412","ig_16_ret_rapat_abri_origine_non_raison",NA,"abri_tropcher",NA,0.00795110921991943,NA,NA,NA,"admin_0","RCA"
"512","ig_16_ret_rapat_abri_origine_non_raison",NA,"autre",NA,0.0123065645378126,NA,NA,NA,"admin_0","RCA"
"69","ig_16_ret_rapat_abri_origine_non_raison",NA,"insecurite",NA,0.0124516612407825,NA,NA,NA,"admin_0","RCA"
"72","ig_16_ret_rapat_abri_origine_non_raison",NA,"nsp",NA,0.00829184943619827,NA,NA,NA,"admin_0","RCA"
"82","ig_16_ret_rapat_abri_origine_non_raison",NA,"perte_doc",NA,0.0090030652419135,NA,NA,NA,"admin_0","RCA"
"91","ig_16_ret_rapat_abri_origine_non_raison",NA,"perte_du_proprietaire",NA,0.0111216413982126,NA,NA,NA,"admin_0","RCA"
"116","ig_17_ret_rapat_dest_finale_non_raison",NA,"abri_detruit",NA,0.354478099669805,NA,NA,NA,"admin_0","RCA"
"216","ig_17_ret_rapat_dest_finale_non_raison",NA,"abri_occupe_tiers",NA,0.0124130315953243,NA,NA,NA,"admin_0","RCA"
"314","ig_17_ret_rapat_dest_finale_non_raison",NA,"abri_tropcher",NA,0.0452819526464117,NA,NA,NA,"admin_0","RCA"
"413","ig_17_ret_rapat_dest_finale_non_raison",NA,"autre",NA,0.00224971878515186,NA,NA,NA,"admin_0","RCA"
"513","ig_17_ret_rapat_dest_finale_non_raison",NA,"insecurite",NA,0.562838797995373,NA,NA,NA,"admin_0","RCA"
"610","ig_17_ret_rapat_dest_finale_non_raison",NA,"nsp",NA,0.00386152903164396,NA,NA,NA,"admin_0","RCA"
"73","ig_17_ret_rapat_dest_finale_non_raison",NA,"perte_doc",NA,0.00224971878515186,NA,NA,NA,"admin_0","RCA"
"83","ig_17_ret_rapat_dest_finale_non_raison",NA,"perte_du_proprietaire",NA,0.016627151491138,NA,NA,NA,"admin_0","RCA"
"117","ig_15_rtr_ret_rapat",NA,"autre",NA,0.00652429017060474,NA,NA,NA,"admin_0","RCA"
"217","ig_15_rtr_ret_rapat",NA,"fermeture_site",NA,0.00208865366700658,NA,NA,NA,"admin_0","RCA"
"315","ig_15_rtr_ret_rapat",NA,"meilleure_assist_human",NA,0.148124498568788,NA,NA,NA,"admin_0","RCA"
"414","ig_15_rtr_ret_rapat",NA,"meilleure_qualite_vie",NA,0.118139152535679,NA,NA,NA,"admin_0","RCA"
"514","ig_15_rtr_ret_rapat",NA,"meilleures_secu",NA,0.0815484443218373,NA,NA,NA,"admin_0","RCA"
"611","ig_15_rtr_ret_rapat",NA,"moins_assist_human",NA,0.0424001730724507,NA,NA,NA,"admin_0","RCA"
"74","ig_15_rtr_ret_rapat",NA,"moins_qualite_vie",NA,0.0954936535066555,NA,NA,NA,"admin_0","RCA"
"84","ig_15_rtr_ret_rapat",NA,"moins_secu",NA,0.0148779341046844,NA,NA,NA,"admin_0","RCA"
"92","ig_15_rtr_ret_rapat",NA,"nsp",NA,0.00487521687073007,NA,NA,NA,"admin_0","RCA"
"101","ig_15_rtr_ret_rapat",NA,"raison_eco",NA,0.0419279011021183,NA,NA,NA,"admin_0","RCA"
"11","ig_15_rtr_ret_rapat",NA,"regroup_fam",NA,0.433019308769984,NA,NA,NA,"admin_0","RCA"
"12","ig_15_rtr_ret_rapat",NA,"tensions_communautaires",NA,0.0109807733094612,NA,NA,NA,"admin_0","RCA"
"dependent.var1","ig_6_hh_membres_tot","NA","NA","NA",5.86715619084477,NA,NA,NA,"admin_0","RCA"
"118","ig_9_hote_fa",NA,"non",NA,0.83117202506053,NA,NA,NA,"admin_0","RCA"
"218","ig_9_hote_fa",NA,"nsp",NA,0.00380797588803387,NA,NA,NA,"admin_0","RCA"
"316","ig_9_hote_fa",NA,"oui",NA,0.165019999051436,NA,NA,NA,"admin_0","RCA"
