"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","ig_1_age","ig_8_statut_groupe",NA,"retournes",37.6299360666451,NA,NA,NA,"admin_0","RCA"
"dependent.var1","ig_1_age","ig_8_statut_groupe",NA,"hote",38.3420178668287,NA,NA,NA,"admin_0","RCA"
"dependent.var2","ig_1_age","ig_8_statut_groupe",NA,"deplaces_site",38.2719145560474,NA,NA,NA,"admin_0","RCA"
"dependent.var3","ig_1_age","ig_8_statut_groupe",NA,"deplaces_FA",37.5774184847515,NA,NA,NA,"admin_0","RCA"
"1","ig_2_sexe","ig_8_statut_groupe","femme","deplaces_FA",0.545903669446443,NA,NA,NA,"admin_0","RCA"
"2","ig_2_sexe","ig_8_statut_groupe","homme","deplaces_FA",0.454096330553557,NA,NA,NA,"admin_0","RCA"
"3","ig_2_sexe","ig_8_statut_groupe","femme","deplaces_site",0.520123462129705,NA,NA,NA,"admin_0","RCA"
"4","ig_2_sexe","ig_8_statut_groupe","homme","deplaces_site",0.479876537870295,NA,NA,NA,"admin_0","RCA"
"5","ig_2_sexe","ig_8_statut_groupe","femme","hote",0.499321044885158,NA,NA,NA,"admin_0","RCA"
"6","ig_2_sexe","ig_8_statut_groupe","homme","hote",0.500678955114842,NA,NA,NA,"admin_0","RCA"
"7","ig_2_sexe","ig_8_statut_groupe","femme","retournes",0.57978218290033,NA,NA,NA,"admin_0","RCA"
"8","ig_2_sexe","ig_8_statut_groupe","homme","retournes",0.42021781709967,NA,NA,NA,"admin_0","RCA"
"125","ig_3_role","ig_8_statut_groupe","non","deplaces_FA",0.239300983606873,NA,NA,NA,"admin_0","RCA"
"210","ig_3_role","ig_8_statut_groupe","oui","deplaces_FA",0.760699016393127,NA,NA,NA,"admin_0","RCA"
"310","ig_3_role","ig_8_statut_groupe","non","deplaces_site",0.158062067291162,NA,NA,NA,"admin_0","RCA"
"410","ig_3_role","ig_8_statut_groupe","oui","deplaces_site",0.841937932708838,NA,NA,NA,"admin_0","RCA"
"510","ig_3_role","ig_8_statut_groupe","non","hote",0.16563356459158,NA,NA,NA,"admin_0","RCA"
"610","ig_3_role","ig_8_statut_groupe","oui","hote",0.83436643540842,NA,NA,NA,"admin_0","RCA"
"710","ig_3_role","ig_8_statut_groupe","non","retournes",0.127582213681302,NA,NA,NA,"admin_0","RCA"
"810","ig_3_role","ig_8_statut_groupe","oui","retournes",0.872417786318698,NA,NA,NA,"admin_0","RCA"
"126","ig_11_idp_rtl","ig_8_statut_groupe","autre","deplaces_FA",0.0201233649393343,NA,NA,NA,"admin_0","RCA"
"211","ig_11_idp_rtl","ig_8_statut_groupe","catastophe_nat","deplaces_FA",0.000397513630312242,NA,NA,NA,"admin_0","RCA"
"311","ig_11_idp_rtl","ig_8_statut_groupe","conflit_arme","deplaces_FA",0.581321389276574,NA,NA,NA,"admin_0","RCA"
"411","ig_11_idp_rtl","ig_8_statut_groupe","conflit_comm","deplaces_FA",0.253096951388654,NA,NA,NA,"admin_0","RCA"
"511","ig_11_idp_rtl","ig_8_statut_groupe","nsp","deplaces_FA",0.00198912826470882,NA,NA,NA,"admin_0","RCA"
"611","ig_11_idp_rtl","ig_8_statut_groupe","recherche_mssc","deplaces_FA",0.0707615615694969,NA,NA,NA,"admin_0","RCA"
"711","ig_11_idp_rtl","ig_8_statut_groupe","recherche_service","deplaces_FA",0.0177337945964615,NA,NA,NA,"admin_0","RCA"
"811","ig_11_idp_rtl","ig_8_statut_groupe","transhumance","deplaces_FA",0.0545762963344579,NA,NA,NA,"admin_0","RCA"
"9","ig_11_idp_rtl","ig_8_statut_groupe","autre","deplaces_site",0.000419592528031535,NA,NA,NA,"admin_0","RCA"
"10","ig_11_idp_rtl","ig_8_statut_groupe","catastophe_nat","deplaces_site",0.00438862841546059,NA,NA,NA,"admin_0","RCA"
