"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","ig_1_age","sexe_chef_menage",NA,"homme",38.5238779322275,NA,NA,NA,"admin_0","RCA"
"dependent.var1","ig_1_age","sexe_chef_menage",NA,"femme",37.7113300938136,NA,NA,NA,"admin_0","RCA"
"1","ig_2_sexe","sexe_chef_menage","femme","femme",0.983038326789257,NA,NA,NA,"admin_0","RCA"
"2","ig_2_sexe","sexe_chef_menage","homme","femme",0.0169616732107434,NA,NA,NA,"admin_0","RCA"
"3","ig_2_sexe","sexe_chef_menage","femme","homme",0.206074249680216,NA,NA,NA,"admin_0","RCA"
"4","ig_2_sexe","sexe_chef_menage","homme","homme",0.793925750319784,NA,NA,NA,"admin_0","RCA"
"110","ig_3_role","sexe_chef_menage","non","femme",0.0860612678459549,NA,NA,NA,"admin_0","RCA"
"210","ig_3_role","sexe_chef_menage","oui","femme",0.913938732154045,NA,NA,NA,"admin_0","RCA"
"310","ig_3_role","sexe_chef_menage","non","homme",0.223819560152201,NA,NA,NA,"admin_0","RCA"
"410","ig_3_role","sexe_chef_menage","oui","homme",0.776180439847799,NA,NA,NA,"admin_0","RCA"
"111","ig_11_idp_rtl","sexe_chef_menage","autre","femme",0.0144298738235373,NA,NA,NA,"admin_0","RCA"
"211","ig_11_idp_rtl","sexe_chef_menage","conflit_arme","femme",0.661631968318332,NA,NA,NA,"admin_0","RCA"
"311","ig_11_idp_rtl","sexe_chef_menage","conflit_comm","femme",0.244475251050594,NA,NA,NA,"admin_0","RCA"
"411","ig_11_idp_rtl","sexe_chef_menage","nsp","femme",0.00405219177891485,NA,NA,NA,"admin_0","RCA"
"5","ig_11_idp_rtl","sexe_chef_menage","recherche_mssc","femme",0.0331788596524389,NA,NA,NA,"admin_0","RCA"
"6","ig_11_idp_rtl","sexe_chef_menage","recherche_service","femme",0.0107777642600907,NA,NA,NA,"admin_0","RCA"
"7","ig_11_idp_rtl","sexe_chef_menage","transhumance","femme",0.0314540911160922,NA,NA,NA,"admin_0","RCA"
"8","ig_11_idp_rtl","sexe_chef_menage","autre","homme",0.0165728397896731,NA,NA,NA,"admin_0","RCA"
