OBJECTID,VillageAll,PC_DTM,PC_OCHA,PC_UNK,GPS_Source,Duplicate,DuplicatPC,Relation,DataSource,FB_POP,UrbanRural,POINT_X,POINT_Y,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin3Name,admin3Pcod,idps,hh_idp,ind_idp,abris_pdi_,abris_pdi1,retournes,hh_ret_rca,ind_ret_rc,abris_ret_,abris_ret1,retournes_,hh_ret_oth,ind_ret_ot,abris_reto,abris_re_1,TotalPop
1111, Aba-Bokaya, ,31210002, , SIGCAF, ,, , SIGCAF,3713.348383,Rural,15.560592,6.65777,Central African Republic,CF,Ouham Pendé,CF31,Bocaranga,CF312,Bocaranga,CF3121, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,3713.348383
1977, Abagba 1, ,52120001, , SIGCAF, ,, , SIGCAF,289.9392311,Rural,21.998804,6.427939,Central African Republic,CF,Haute-Kotto,CF52,Bria,CF521,Daba Nydou,CF5212, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,289.9392311
1970, Abakoumbou, ,52110002, , SIGCAF, ,, , SIGCAF,716.3269224,Urban,22.021692,6.521996,Central African Republic,CF,Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,716.3269224
1013, Abba-Centre, ,22410039, , SIGCAF, ,, , WRI,3747.297956,Urban,15.14295396,5.33337201,Central African Republic,CF,Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,3747.297956
999, Abbo Bogaki, ,22410002, , SIGCAF, ,, , SIGCAF,716.9386621,Rural,15.310861,5.370185,Central African Republic,CF,Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,716.9386621
1000, Abbo Bougrma, ,22410003, , SIGCAF, ,, , SIGCAF,960.8456297,Rural,14.939763,5.477976,Central African Republic,CF,Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,960.8456297
1014, Abbo Boyafe, ,22420001, , SIGCAF, ,, , SIGCAF,411.824223,Rural,15.464091,5.207386,Central African Republic,CF,Nana-Mambéré,CF22,Abba,CF224,Nadziboro,CF2242, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,411.824223
1049, Abogui, ,23120001, , SIGCAF, ,, , SIGCAF,624.9844539,Rural,15.764508,3.393991,Central African Republic,CF,Sangha-Mbaéré,CF23,Nola,CF231,Bilolo,CF2312, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,624.9844539
960, Adambou, ,22210002, , SIGCAF, ,, , SIGCAF,729.4662915,Rural,16.460006,5.551761,Central African Republic,CF,Nana-Mambéré,CF22,Baoro,CF222,Bawi Tédoa,CF2221, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,729.4662915
1062, Adebori, ,23130002, , SIGCAF, ,, , SIGCAF,1047.104914,Rural,16.058711,3.170769,Central African Republic,CF,Sangha-Mbaéré,CF23,Nola,CF231,Salo,CF2313, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,1047.104914
1845, Adjeouarapou, ,43330001, , SIGCAF, ,, , SIGCAF,1055.452835,Rural,20.19936,6.020698,Central African Republic,CF,Ouaka,CF43,Grimari,CF433,Lissa,CF4333, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,1055.452835
