,unique(response_updated_cluster$localite_final_labels_admin2),localites_visitees_labels,admin2,"unique(subset(df_hh, !is_in(df_hh$localite_final_labels_admin2, popsize_village$VillageAll_admin2))$localite_final_labels_admin2)",Rural vs. Urbain,MP comments,X,Y,UrbanRural,,UrbanRural_final
1,ndelendele,N'dele,Ndele,ndele _ Ndele,Urban,,,,,,Urban
2,gozamarndele,Site de Gozamar,Ndele,gozamar _ Ndele,#N/A,,20.625,8.42389,rural ,,rural 
3,haoussa2ndele,Ahoussa,Ndele,haoussa2 _ Ndele,#N/A,,"20.6479989999999,8.411999",8.411999,urban,quartier ndélé,urban
4,ngadjandele,Ngadja,Ndele,ngadja _ Ndele,#N/A,,"20.6479989999999,8.411999",8.411999,rural ,Ndele centre,rural 
5,lemana3ndele,Lamena 3,Ndele,lemana3 _ Ndele,Rural,,,,,,Rural
6,lemana2ndele,Lemana 2,Ndele,lemana2 _ Ndele,Rural,,,,,,Rural
7,ouhindele,Houi,Ndele,ouhi _ Ndele,Rural,,,,,,Rural
8,zoukoutouniala2ndele,Zoukoutouniala,Ndele,zoukoutouniala2 _ Ndele,Rural,,,,,,Rural
9,sokoumbandele,Sokoumba,Ndele,sokoumba _ Ndele,Rural,,,,,,Rural
10,kawabouca,Kawa,Bouca,kawa _ Bouca,Rural,,,,,,Rural
11,ladybbouca,Lady B,Bouca,ladyb _ Bouca,#N/A,,"18.347196,7.036628",7.036628,rural,,rural
12,gbakayabouca,Gbakaya,Bouca,gbakaya _ Bouca,Rural,,,,,,Rural
13,dao-bacbouca,Dao-Bac,Bouca,dao-bac _ Bouca,Rural,,,,,,Rural
14,beyabouca,BEYA,Bouca,beya _ Bouca,Rural,,,,,,Rural
15,gbadoubouca,Gbadou,Bouca,gbadou _ Bouca,Rural,,,,,,Rural
16,bodelebouca,Bodele,Bouca,bodele _ Bouca,Rural,,,,,,Rural
17,boguilobouca,Boguilo,Bouca,boguilo _ Bouca,Rural,,,,,,Rural
18,bogoin2bouca,Bogoin 2,Bouca,bogoin2 _ Bouca,Rural,,,,,,Rural
19,babanonbouca,Babanon,Bouca,babanon _ Bouca,Rural,,,,,,Rural
20,pk6babanonbouca,Village limite:6km bobanon,Bouca,pk6babanon _ Bouca,#N/A,Probablement Unknown 60 ou 61,18.332798,5.825515,rural,,rural
21,missioncatholiquealindao,MISSION CATHOLIQUE,Alindao,missioncatholique _ Alindao,#N/A,,21.21499,5.04205,urban,,urban
22,zarawaalindao,ZARAWA,Alindao,zarawa _ Alindao,Rural,,,,,,Rural
23,kawaalindao,Kawa,Alindao,kawa _ Alindao,Urban,,,,,,Urban
24,kongo2alindao,KONGO 2,Alindao,kongo2 _ Alindao,#N/A,Kongo dans le fichier de Matt qui est considéré comme rural,21.21499,5.04205,urban,"quartier de Alindao, Kongo 2 et non Kongo ",urban
25,voundjadjogoalindao,VOUNDJA DJOGO,Alindao,voundjadjogo _ Alindao,#N/A,,21.21499,5.04205,urban,quartier Alindao,urban
26,bandoalindao,Bando,Alindao,bando _ Alindao,Rural,,,,,,Rural
27,siteelimalindao,Site Elim,Alindao,siteelim _ Alindao,#N/A,,21.21499,5.04205,urban,quartier Alindao,urban
28,angazeu(kongbo)alindao,ANGAZEU (KONGBO),Alindao,angazeu(kongbo) _ Alindao,#N/A,,21.36464,4.77275,rural,13,rural
29,takamalabirao,Takamala,Birao,takamala _ Birao,Rural,,,,,,Rural
30,biraobirao,Birao 2,Birao,birao _ Birao,Urban,,,,,,Urban
31,benguesbirao,Benguess,Birao,bengues _ Birao,Rural,,,,,,Rural
32,armybirao,Village Army,Birao,army _ Birao,Rural,,,,,,Rural
33,tagnagnabirao,Tagnagna,Birao,tagnagna _ Birao,Rural,,,,,,Rural
34,bangui7ebangui,Gbangouma1,Bangui,bangui7e _ Bangui,Urban,,,,,,Urban
35,bangui8ebangui,Galabadjia4,Bangui,bangui8e _ Bangui,Urban,,,,,,Urban
36,bangui4ebangui,Gobongo4,Bangui,bangui4e _ Bangui,Urban,,,,,,Urban
37,bangui3ebangui,Bangui 3e,Bangui,bangui3e _ Bangui,Urban,,,,,,Urban
38,bangui2ebangui,Bangui 2e,Bangui,bangui2e _ Bangui,Urban,,,,,,Urban
39,bangui6ebangui,Bangui 6e,Bangui,bangui6e _ Bangui,Urban,,,,,,Urban
40,bangui5ebangui,Bangui 5e,Bangui,bangui5e _ Bangui,Urban,,,,,,Urban
41,boyidoumobaye,Boyidou,Mobaye,boyidou _ Mobaye,Rural,,,,,,Rural
42,dougbamobaye,Dougba,Mobaye,dougba _ Mobaye,Rural,,,,,,Rural
43,banda-faramobaye,Banda-Fara,Mobaye,banda-fara _ Mobaye,Rural,,,,,,Rural
44,bandou2mobaye,BANDOU 2,Mobaye,bandou2 _ Mobaye,Urban,,,,,,Urban
45,kandjamobaye,KANDJA,Mobaye,kandja _ Mobaye,Urban,,,,,,Urban
46,gbama1mobaye,GBAMA 1,Mobaye,gbama1 _ Mobaye,Rural,,,,,,Rural
47,gbabi1mobaye,Gbabi 1,Mobaye,gbabi1 _ Mobaye,Rural,,,,,,Rural
48,oye1mobaye,OYE 1,Mobaye,oye1 _ Mobaye,Rural,,,,,,Rural
49,boubandamobaye,Boubanda,Mobaye,boubanda _ Mobaye,Rural,,,,,,Rural
50,koyabroumobaye,Koyabrou,Mobaye,koyabrou _ Mobaye,Rural,,,,,,Rural
51,mobayemobaye,Mobaye,Mobaye,mobaye _ Mobaye,Urban,,,,,,Urban
