"","theloopcount","wash_6_volume_recipient","wash_7_frequence_recipient","volume_total_par_recipient","X_index","X_parent_table_name","X_parent_index","X_submission__id","X_submission__uuid","X_submission__submission_time","X_submission__validation_status","MERGED_FROM_FILE"
"1",1,20,1,20,1,"Questionnaire MSNA - HH",1,60236936,"8ac91acb-1ac9-444c-a856-2e5c3ae99bd3","2019-07-01T16:29:46",NA,"loop_bidons_test_OK_0701"
"2",2,20,1,20,2,"Questionnaire MSNA - HH",1,60236936,"8ac91acb-1ac9-444c-a856-2e5c3ae99bd3","2019-07-01T16:29:46",NA,"loop_bidons_test_OK_0701"
"3",3,20,1,20,3,"Questionnaire MSNA - HH",1,60236936,"8ac91acb-1ac9-444c-a856-2e5c3ae99bd3","2019-07-01T16:29:46",NA,"loop_bidons_test_OK_0701"
"4",4,20,1,20,4,"Questionnaire MSNA - HH",1,60236936,"8ac91acb-1ac9-444c-a856-2e5c3ae99bd3","2019-07-01T16:29:46",NA,"loop_bidons_test_OK_0701"
"5",5,20,1,20,5,"Questionnaire MSNA - HH",1,60236936,"8ac91acb-1ac9-444c-a856-2e5c3ae99bd3","2019-07-01T16:29:46",NA,"loop_bidons_test_OK_0701"
"6",6,20,1,20,6,"Questionnaire MSNA - HH",1,60236936,"8ac91acb-1ac9-444c-a856-2e5c3ae99bd3","2019-07-01T16:29:46",NA,"loop_bidons_test_OK_0701"
"7",7,20,1,20,7,"Questionnaire MSNA - HH",1,60236936,"8ac91acb-1ac9-444c-a856-2e5c3ae99bd3","2019-07-01T16:29:46",NA,"loop_bidons_test_OK_0701"
"8",1,20,1,20,8,"Questionnaire MSNA - HH",2,60237208,"f5310eb4-77b5-4deb-be47-01f6d95e0f27","2019-07-01T16:30:58",NA,"loop_bidons_test_OK_0701"
"9",2,20,1,20,9,"Questionnaire MSNA - HH",2,60237208,"f5310eb4-77b5-4deb-be47-01f6d95e0f27","2019-07-01T16:30:58",NA,"loop_bidons_test_OK_0701"
"10",3,20,1,20,10,"Questionnaire MSNA - HH",2,60237208,"f5310eb4-77b5-4deb-be47-01f6d95e0f27","2019-07-01T16:30:58",NA,"loop_bidons_test_OK_0701"
"11",4,20,1,20,11,"Questionnaire MSNA - HH",2,60237208,"f5310eb4-77b5-4deb-be47-01f6d95e0f27","2019-07-01T16:30:58",NA,"loop_bidons_test_OK_0701"
"12",1,20,20,400,12,"Questionnaire MSNA - HH",3,60242287,"35ac5841-d3cc-44d1-9143-b83af1c8dc58","2019-07-01T17:09:35",NA,"loop_bidons_test_OK_0701"
"13",2,20,20,400,13,"Questionnaire MSNA - HH",3,60242287,"35ac5841-d3cc-44d1-9143-b83af1c8dc58","2019-07-01T17:09:35",NA,"loop_bidons_test_OK_0701"
"14",3,20,20,400,14,"Questionnaire MSNA - HH",3,60242287,"35ac5841-d3cc-44d1-9143-b83af1c8dc58","2019-07-01T17:09:35",NA,"loop_bidons_test_OK_0701"
"15",4,20,20,400,15,"Questionnaire MSNA - HH",3,60242287,"35ac5841-d3cc-44d1-9143-b83af1c8dc58","2019-07-01T17:09:35",NA,"loop_bidons_test_OK_0701"
"16",5,20,30,600,16,"Questionnaire MSNA - HH",3,60242287,"35ac5841-d3cc-44d1-9143-b83af1c8dc58","2019-07-01T17:09:35",NA,"loop_bidons_test_OK_0701"
"17",6,25,20,500,17,"Questionnaire MSNA - HH",3,60242287,"35ac5841-d3cc-44d1-9143-b83af1c8dc58","2019-07-01T17:09:35",NA,"loop_bidons_test_OK_0701"
"18",7,20,15,300,18,"Questionnaire MSNA - HH",3,60242287,"35ac5841-d3cc-44d1-9143-b83af1c8dc58","2019-07-01T17:09:35",NA,"loop_bidons_test_OK_0701"
"19",1,20,23,460,19,"Questionnaire MSNA - HH",4,60242284,"3dab724d-1a91-4697-aaad-87f668b37168","2019-07-01T17:09:33",NA,"loop_bidons_test_OK_0701"
"20",2,23,23,529,20,"Questionnaire MSNA - HH",4,60242284,"3dab724d-1a91-4697-aaad-87f668b37168","2019-07-01T17:09:33",NA,"loop_bidons_test_OK_0701"
"21",3,23,23,529,21,"Questionnaire MSNA - HH",4,60242284,"3dab724d-1a91-4697-aaad-87f668b37168","2019-07-01T17:09:33",NA,"loop_bidons_test_OK_0701"
"22",4,23,23,529,22,"Questionnaire MSNA - HH",4,60242284,"3dab724d-1a91-4697-aaad-87f668b37168","2019-07-01T17:09:33",NA,"loop_bidons_test_OK_0701"
"23",5,23,23,529,23,"Questionnaire MSNA - HH",4,60242284,"3dab724d-1a91-4697-aaad-87f668b37168","2019-07-01T17:09:33",NA,"loop_bidons_test_OK_0701"
"24",6,23,23,529,24,"Questionnaire MSNA - HH",4,60242284,"3dab724d-1a91-4697-aaad-87f668b37168","2019-07-01T17:09:33",NA,"loop_bidons_test_OK_0701"
"25",7,15,15,225,25,"Questionnaire MSNA - HH",4,60242284,"3dab724d-1a91-4697-aaad-87f668b37168","2019-07-01T17:09:33",NA,"loop_bidons_test_OK_0701"
"26",8,15,10,150,26,"Questionnaire MSNA - HH",4,60242284,"3dab724d-1a91-4697-aaad-87f668b37168","2019-07-01T17:09:33",NA,"loop_bidons_test_OK_0701"
"27",1,25,1,25,27,"Questionnaire MSNA - HH",5,60242026,"882c35fb-490f-47ed-9064-1fbd4c0bb10c","2019-07-01T17:06:45",NA,"loop_bidons_test_OK_0701"
"28",2,25,1,25,28,"Questionnaire MSNA - HH",5,60242026,"882c35fb-490f-47ed-9064-1fbd4c0bb10c","2019-07-01T17:06:45",NA,"loop_bidons_test_OK_0701"
