"","uuid","index","question.name","Issue","feedback","changed","old.value","new.value"
"1","41e5026f-689b-4bc5-a2c9-b8011f271143","1","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"2","e69cc654-dcd2-48b0-8abe-f5ae976b0213","2","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"3","4830f3bf-f3b3-4c77-8061-84eaf2cf8c36","3","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"4","e3580bf0-57b7-422a-9fed-e0054ef452f9","817","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"5","8dcde2d5-6944-4d04-b86e-4ce999b11686","1432","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"6","e5d53771-2470-4846-8fef-cdd46938e0fc","2344","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"7","5b7be634-7e3c-4bf6-ae1f-82c204fa709a","2606","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"8","c832f888-fdd5-44d3-981b-500add24836c","4350","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"9","471b275f-335f-472a-aa60-e526e3f71e3b","4378","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"10","1ded46ba-bcf7-4aa6-bd4d-87e7bf2d6470","4802","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"11","baa55a55-414f-4a46-b118-9e834a060cea","5032","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"12","a07f6713-bf56-4f37-a1af-51b753e4c23d","5036","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"13","38b9a744-ac92-4509-8044-dd03f86adcfe","5100","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"14","4b66f823-4a68-4a7a-ad99-364efa549317","5459","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"15","2c51969d-0e5e-4024-9413-1ce1defdad9b","7562","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
"16","aaa36dac-0d24-4209-8d8f-125dca22e83b","7774","consensus_note","Pas de consentement","","Oui","non","Qst supprimé de la DB"
