vars,repeat_var,disaggregation,rank_1,rank_2,rank_3,percent_1,percent_2,percent_3
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,admin_0,,financier,autre,aucune,22.7%,12.4%,12.2%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,admin_0,,cash_recipient_eau,cash_infra,cash_hygiene,19.9%,16.2%,15.3%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,admin_0,,agric,petit_commerce,pche,28.3%,21.6%,9.86%
wash_9_insuff_raisons_1 wash_9_insuff_raisons_2 wash_9_insuff_raisons_3,admin_0,,manque_recip,attente_longue,distance,24.8%,17.1%,15.6%
nfi_7_assistance_1 nfi_7_assistance_2 nfi_7_assistance_3,admin_0,,argent_materiel,argent_nfi_essentiels,provision_nfi_essentiels,17.3%,16.4%,15.1%
educ_6_reponse_1 educ_6_reponse_2 educ_6_reponse_3,admin_0,,cash_frais,cash_fournitures,prov_fournitures,20.5%,17.2%,16.6%
rep_souhaitee_1 rep_souhaitee_2 rep_souhaitee_3,admin_0,,secal,wash,sante,26.2%,22.5%,21.4%
secal_13_reponse_1 secal_13_reponse_2 secal_13_reponse_3,admin_0,,cash_nourrit,cash_intrant_agri,cash_nfi,21.8%,18.4%,15.1%
sante_7_reponse_1 sante_7_reponse_2 sante_7_reponse_3,admin_0,,prov_medicament,cash_frais_med,acces_staff_cs,19.6%,16.9%,13.9%
wash_15_insuff_raisons_1 wash_15_insuff_raisons_2 wash_15_insuff_raisons_3,admin_0,,quantite_insuff,hygiene_insuff,mixte,24.7%,22.6%,16.0%
wash_21_wash_inquiet_1 wash_21_wash_inquiet_2 wash_21_wash_inquiet_3,admin_0,,eau,sanitaire,environment,34.3%,22.9%,20.4%
