vars,repeat_var,disaggregation,rank_1,rank_2,rank_3,percent_1,percent_2,percent_3
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,admin_0,retournes,financier,manque_interet,acces_dangereux,24.7%,12.5%,11.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,admin_0,hote,financier,autre,aucune,22.6%,13.2%,12.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,admin_0,deplaces_site,financier,logistique,acces_dangereux,21.7%,13.7%,13.3%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,admin_0,deplaces_FA,financier,logistique,aucune,26.3%,12.9%,11.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,admin_0,retournes,cash_recipient_eau,cash_hygiene,cash_infra,23.9%,22.0%,16.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,admin_0,hote,cash_recipient_eau,cash_infra,prov_recipient,19.1%,16.3%,15.3%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,admin_0,deplaces_site,cash_recipient_eau,cash_hygiene,cash_infra,22.3%,18.2%,17.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,admin_0,deplaces_FA,cash_recipient_eau,cash_infra,cash_hygiene,21.6%,17.6%,14.7%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,admin_0,retournes,agric,petit_commerce,pche,32.9%,22.3%,12.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,admin_0,hote,agric,petit_commerce,pche,29.0%,21.7%,9.91%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,admin_0,deplaces_site,petit_commerce,agric,jtt_agric,24.0%,18.4%,10.5%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,admin_0,deplaces_FA,petit_commerce,agric,nsp,23.1%,21.4%,10.4%
wash_9_insuff_raisons_1 wash_9_insuff_raisons_2 wash_9_insuff_raisons_3,admin_0,retournes,manque_recip,distance,attente_longue,30.4%,19.9%,16.6%
wash_9_insuff_raisons_1 wash_9_insuff_raisons_2 wash_9_insuff_raisons_3,admin_0,hote,manque_recip,attente_longue,distance,24.7%,17.4%,15.0%
wash_9_insuff_raisons_1 wash_9_insuff_raisons_2 wash_9_insuff_raisons_3,admin_0,deplaces_site,manque_recip,attente_longue,distance,29.1%,20.3%,11.1%
wash_9_insuff_raisons_1 wash_9_insuff_raisons_2 wash_9_insuff_raisons_3,admin_0,deplaces_FA,manque_recip,attente_longue,distance,22.5%,17.8%,17.2%
nfi_7_assistance_1 nfi_7_assistance_2 nfi_7_assistance_3,admin_0,retournes,provision_nfi_essentiels,argent_materiel,argent_nfi_essentiels,18.6%,17.6%,16.9%
nfi_7_assistance_1 nfi_7_assistance_2 nfi_7_assistance_3,admin_0,hote,argent_materiel,argent_nfi_essentiels,provision_nfi_essentiels,17.7%,16.1%,14.9%
nfi_7_assistance_1 nfi_7_assistance_2 nfi_7_assistance_3,admin_0,deplaces_site,argent_nfi_essentiels,argent_materiel,provision_abri,25.0%,20.4%,13.8%
nfi_7_assistance_1 nfi_7_assistance_2 nfi_7_assistance_3,admin_0,deplaces_FA,provision_abri,argent_materiel,argent_nfi_essentiels,17.8%,16.0%,15.8%
