vars,repeat_var,disaggregation,rank_1,rank_2,rank_3,percent_1,percent_2,percent_3
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,admin_0,homme,financier,autre,aucune,22.3%,12.8%,12.5%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,admin_0,femme,financier,autre,aucune,23.5%,11.7%,11.1%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,admin_0,homme,cash_recipient_eau,cash_infra,cash_hygiene,19.5%,16.2%,14.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,admin_0,femme,cash_recipient_eau,cash_infra,cash_hygiene,20.0%,15.8%,15.6%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,admin_0,homme,agric,petit_commerce,pche,27.5%,19.4%,10.6%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,admin_0,femme,agric,petit_commerce,jtt_agric,29.8%,25.5%,8.42%
wash_9_insuff_raisons_1 wash_9_insuff_raisons_2 wash_9_insuff_raisons_3,admin_0,homme,manque_recip,attente_longue,distance,24.1%,17.0%,16.5%
wash_9_insuff_raisons_1 wash_9_insuff_raisons_2 wash_9_insuff_raisons_3,admin_0,femme,manque_recip,attente_longue,distance,25.2%,17.7%,15.2%
nfi_7_assistance_1 nfi_7_assistance_2 nfi_7_assistance_3,admin_0,homme,argent_nfi_essentiels,argent_materiel,provision_nfi_essentiels,18.0%,16.0%,15.8%
nfi_7_assistance_1 nfi_7_assistance_2 nfi_7_assistance_3,admin_0,femme,argent_materiel,argent_nfi_essentiels,provision_abri,18.4%,14.7%,13.8%
educ_6_reponse_1 educ_6_reponse_2 educ_6_reponse_3,admin_0,homme,cash_frais,cash_fournitures,prov_fournitures,20.8%,18.4%,15.8%
educ_6_reponse_1 educ_6_reponse_2 educ_6_reponse_3,admin_0,femme,cash_frais,prov_fournitures,cash_fournitures,20.4%,17.6%,16.5%
rep_souhaitee_1 rep_souhaitee_2 rep_souhaitee_3,admin_0,homme,secal,wash,sante,26.2%,22.6%,21.7%
rep_souhaitee_1 rep_souhaitee_2 rep_souhaitee_3,admin_0,femme,secal,wash,sante,26.6%,22.1%,21.4%
secal_13_reponse_1 secal_13_reponse_2 secal_13_reponse_3,admin_0,homme,cash_nourrit,cash_intrant_agri,cash_nfi,21.1%,18.9%,14.8%
secal_13_reponse_1 secal_13_reponse_2 secal_13_reponse_3,admin_0,femme,cash_nourrit,cash_intrant_agri,cash_nfi,23.0%,17.6%,16.3%
sante_7_reponse_1 sante_7_reponse_2 sante_7_reponse_3,admin_0,homme,prov_medicament,cash_frais_med,acces_staff_cs,19.6%,16.8%,14.1%
sante_7_reponse_1 sante_7_reponse_2 sante_7_reponse_3,admin_0,femme,prov_medicament,cash_frais_med,acces_staff_cs,20.7%,16.5%,14.1%
wash_15_insuff_raisons_1 wash_15_insuff_raisons_2 wash_15_insuff_raisons_3,admin_0,homme,quantite_insuff,hygiene_insuff,mixte,24.9%,23.2%,16.5%
wash_15_insuff_raisons_1 wash_15_insuff_raisons_2 wash_15_insuff_raisons_3,admin_0,femme,quantite_insuff,hygiene_insuff,qualite_insuff,24.8%,21.6%,15.8%
wash_21_wash_inquiet_1 wash_21_wash_inquiet_2 wash_21_wash_inquiet_3,admin_0,homme,eau,sanitaire,environment,34.4%,22.9%,20.1%
wash_21_wash_inquiet_1 wash_21_wash_inquiet_2 wash_21_wash_inquiet_3,admin_0,femme,eau,sanitaire,environment,33.9%,23.0%,20.9%
