"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","ig_1_age","NA","NA","NA",38.1102295872755,NA,NA,NA,"admin_1","Bamingui_Bangoran"
"dependent.var1","ig_1_age","NA","NA","NA",38.6070750911955,NA,NA,NA,"admin_1","Ouham"
"dependent.var2","ig_1_age","NA","NA","NA",38.4992725154422,NA,NA,NA,"admin_1","Basse_Kotto"
"dependent.var3","ig_1_age","NA","NA","NA",47.875736206601,NA,NA,NA,"admin_1","Vakaga"
"dependent.var4","ig_1_age","NA","NA","NA",36.6017887669659,NA,NA,NA,"admin_1","Bangui"
"dependent.var5","ig_1_age","NA","NA","NA",39.047181642848,NA,NA,NA,"admin_1","Ouaka"
"dependent.var6","ig_1_age","NA","NA","NA",39.1439997888368,NA,NA,NA,"admin_1","Nana_Mambere"
"dependent.var7","ig_1_age","NA","NA","NA",37.2306432076723,NA,NA,NA,"admin_1","Ouham_Pende"
"dependent.var8","ig_1_age","NA","NA","NA",37.6011416928957,NA,NA,NA,"admin_1","Nana_Gribizi"
"dependent.var9","ig_1_age","NA","NA","NA",38.4634643643486,NA,NA,NA,"admin_1","Mbomou"
"dependent.var10","ig_1_age","NA","NA","NA",40.125120578425,NA,NA,NA,"admin_1","Mambere_Kadei"
"dependent.var11","ig_1_age","NA","NA","NA",38.0218617074699,NA,NA,NA,"admin_1","Ombella_MPoko"
"dependent.var12","ig_1_age","NA","NA","NA",37.4003845796094,NA,NA,NA,"admin_1","Kemo"
"dependent.var13","ig_1_age","NA","NA","NA",39.0089354741866,NA,NA,NA,"admin_1","Haut_Mbomou"
"dependent.var14","ig_1_age","NA","NA","NA",37.6673585235335,NA,NA,NA,"admin_1","Haute_Kotto"
"dependent.var15","ig_1_age","NA","NA","NA",37.6851573688073,NA,NA,NA,"admin_1","Lobaye"
"dependent.var16","ig_1_age","NA","NA","NA",39.6256013634535,NA,NA,NA,"admin_1","Sangha_Mbaere"
"1","ig_2_sexe",NA,"femme",NA,0.440663837462196,NA,NA,NA,"admin_1","Bamingui_Bangoran"
"2","ig_2_sexe",NA,"homme",NA,0.559336162537804,NA,NA,NA,"admin_1","Bamingui_Bangoran"
"110","ig_2_sexe",NA,"femme",NA,0.515776803092301,NA,NA,NA,"admin_1","Ouham"
"210","ig_2_sexe",NA,"homme",NA,0.484223196907699,NA,NA,NA,"admin_1","Ouham"
"111","ig_2_sexe",NA,"femme",NA,0.345995784857877,NA,NA,NA,"admin_1","Basse_Kotto"
"211","ig_2_sexe",NA,"homme",NA,0.654004215142123,NA,NA,NA,"admin_1","Basse_Kotto"
"112","ig_2_sexe",NA,"femme",NA,0.523418153210615,NA,NA,NA,"admin_1","Vakaga"
"212","ig_2_sexe",NA,"homme",NA,0.476581846789385,NA,NA,NA,"admin_1","Vakaga"
"113","ig_2_sexe",NA,"femme",NA,0.697106241483843,NA,NA,NA,"admin_1","Bangui"
"213","ig_2_sexe",NA,"homme",NA,0.302893758516157,NA,NA,NA,"admin_1","Bangui"
"114","ig_2_sexe",NA,"femme",NA,0.437945795415616,NA,NA,NA,"admin_1","Ouaka"
"214","ig_2_sexe",NA,"homme",NA,0.562054204584384,NA,NA,NA,"admin_1","Ouaka"
"115","ig_2_sexe",NA,"femme",NA,0.414206564224358,NA,NA,NA,"admin_1","Nana_Mambere"
"215","ig_2_sexe",NA,"homme",NA,0.585793435775642,NA,NA,NA,"admin_1","Nana_Mambere"
"116","ig_2_sexe",NA,"femme",NA,0.53355147986398,NA,NA,NA,"admin_1","Ouham_Pende"
"216","ig_2_sexe",NA,"homme",NA,0.466448520136019,NA,NA,NA,"admin_1","Ouham_Pende"
"117","ig_2_sexe",NA,"femme",NA,0.565603686495345,NA,NA,NA,"admin_1","Nana_Gribizi"
"217","ig_2_sexe",NA,"homme",NA,0.434396313504655,NA,NA,NA,"admin_1","Nana_Gribizi"
"118","ig_2_sexe",NA,"femme",NA,0.493657922139155,NA,NA,NA,"admin_1","Mbomou"
"218","ig_2_sexe",NA,"homme",NA,0.506342077860845,NA,NA,NA,"admin_1","Mbomou"
"119","ig_2_sexe",NA,"femme",NA,0.392787322670454,NA,NA,NA,"admin_1","Mambere_Kadei"
"219","ig_2_sexe",NA,"homme",NA,0.607212677329546,NA,NA,NA,"admin_1","Mambere_Kadei"
"120","ig_2_sexe",NA,"femme",NA,0.564381016077968,NA,NA,NA,"admin_1","Ombella_MPoko"
"220","ig_2_sexe",NA,"homme",NA,0.435618983922032,NA,NA,NA,"admin_1","Ombella_MPoko"
"121","ig_2_sexe",NA,"femme",NA,0.341824654585957,NA,NA,NA,"admin_1","Kemo"
"221","ig_2_sexe",NA,"homme",NA,0.658175345414043,NA,NA,NA,"admin_1","Kemo"
"122","ig_2_sexe",NA,"femme",NA,0.348607115058399,NA,NA,NA,"admin_1","Haut_Mbomou"
"222","ig_2_sexe",NA,"homme",NA,0.651392884941601,NA,NA,NA,"admin_1","Haut_Mbomou"
"123","ig_2_sexe",NA,"femme",NA,0.5374814430338,NA,NA,NA,"admin_1","Haute_Kotto"
"223","ig_2_sexe",NA,"homme",NA,0.4625185569662,NA,NA,NA,"admin_1","Haute_Kotto"
"124","ig_2_sexe",NA,"femme",NA,0.518437112062257,NA,NA,NA,"admin_1","Lobaye"
"224","ig_2_sexe",NA,"homme",NA,0.481562887937743,NA,NA,NA,"admin_1","Lobaye"
