"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","ig_1_age","NA","NA","NA",38.0429381409771,NA,NA,NA,"admin_1","Bamingui_Bangoran"
"dependent.var1","ig_1_age","NA","NA","NA",38.5913880895167,NA,NA,NA,"admin_1","Ouham"
"dependent.var2","ig_1_age","NA","NA","NA",38.4992725154401,NA,NA,NA,"admin_1","Basse_Kotto"
"dependent.var3","ig_1_age","NA","NA","NA",47.875736206601,NA,NA,NA,"admin_1","Vakaga"
"dependent.var4","ig_1_age","NA","NA","NA",36.6017887669659,NA,NA,NA,"admin_1","Bangui"
"dependent.var5","ig_1_age","NA","NA","NA",39.2312017278379,NA,NA,NA,"admin_1","Ouaka"
"dependent.var6","ig_1_age","NA","NA","NA",39.1439997888368,NA,NA,NA,"admin_1","Nana_Mambere"
"dependent.var7","ig_1_age","NA","NA","NA",37.2533832364278,NA,NA,NA,"admin_1","Ouham_Pende"
"dependent.var8","ig_1_age","NA","NA","NA",37.4420962431067,NA,NA,NA,"admin_1","Nana_Gribizi"
"dependent.var9","ig_1_age","NA","NA","NA",38.2408608986071,NA,NA,NA,"admin_1","Mbomou"
"dependent.var10","ig_1_age","NA","NA","NA",40.1251205784074,NA,NA,NA,"admin_1","Mambere_Kadei"
"dependent.var11","ig_1_age","NA","NA","NA",38.0218617074699,NA,NA,NA,"admin_1","Ombella_MPoko"
"dependent.var12","ig_1_age","NA","NA","NA",37.4003845796054,NA,NA,NA,"admin_1","Kemo"
"dependent.var13","ig_1_age","NA","NA","NA",39.0219211824098,NA,NA,NA,"admin_1","Haut_Mbomou"
"dependent.var14","ig_1_age","NA","NA","NA",37.9593914145407,NA,NA,NA,"admin_1","Haute_Kotto"
"dependent.var15","ig_1_age","NA","NA","NA",37.6851573687997,NA,NA,NA,"admin_1","Lobaye"
"dependent.var16","ig_1_age","NA","NA","NA",39.6256013634665,NA,NA,NA,"admin_1","Sangha_Mbaere"
"1","ig_2_sexe",NA,"femme",NA,0.439301015851923,NA,NA,NA,"admin_1","Bamingui_Bangoran"
"2","ig_2_sexe",NA,"homme",NA,0.560698984148077,NA,NA,NA,"admin_1","Bamingui_Bangoran"
"110","ig_2_sexe",NA,"femme",NA,0.516069674697881,NA,NA,NA,"admin_1","Ouham"
"210","ig_2_sexe",NA,"homme",NA,0.483930325302119,NA,NA,NA,"admin_1","Ouham"
