"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","start",NA,NA,"NA",NA,NA,NA,NA,"state","NG008"
"dependent.var3","start",NA,NA,"NA",NA,NA,NA,NA,"state","NGxxx"
"dependent.var4","start",NA,NA,"NA",NA,NA,NA,NA,"state","NG002"
"dependent.var5","start",NA,NA,"NA",NA,NA,NA,NA,"state","NG036"
"dependent.var6","end",NA,NA,"NA",NA,NA,NA,NA,"state","NG008"
"dependent.var7","end",NA,NA,"NA",NA,NA,NA,NA,"state","NGxxx"
"dependent.var8","end",NA,NA,"NA",NA,NA,NA,NA,"state","NG002"
"dependent.var9","end",NA,NA,"NA",NA,NA,NA,NA,"state","NG036"
"1","deviceid","What is the intended group for this interview?","deviceID00000000","Internally Displaced Persons (IDPs)",0.0740740740740741,NA,0,0.173430931719099,"state","NG008"
"2","deviceid","What is the intended group for this interview?","deviceID00000000","Non-displaced",0.0416666666666667,NA,0,0.122075830720949,"state","NG008"
"3","deviceid","What is the intended group for this interview?","deviceID00000000","Returnees",0.0555555555555556,NA,0,0.13081468613901,"state","NG008"
"4","deviceid","What is the intended group for this interview?","deviceID00000002","Internally Displaced Persons (IDPs)",0,NA,0,0,"state","NG008"
"5","deviceid","What is the intended group for this interview?","deviceID00000002","Non-displaced",0.0416666666666667,NA,0,0.122075830720949,"state","NG008"
"6","deviceid","What is the intended group for this interview?","deviceID00000002","Returnees",0.111111111111111,NA,0.0078564357981685,0.214365786424054,"state","NG008"
"7","deviceid","What is the intended group for this interview?","deviceID00000005","Internally Displaced Persons (IDPs)",0.0740740740740741,NA,0,0.173430931719099,"state","NG008"
"8","deviceid","What is the intended group for this interview?","deviceID00000005","Non-displaced",0.166666666666667,NA,0.0167028024522613,0.316630530881072,"state","NG008"
"9","deviceid","What is the intended group for this interview?","deviceID00000005","Returnees",0.111111111111111,NA,0.00785643579816851,0.214365786424054,"state","NG008"
"10","deviceid","What is the intended group for this interview?","deviceID00000010","Internally Displaced Persons (IDPs)",0.111111111111111,NA,0,0.230339340285141,"state","NG008"
"11","deviceid","What is the intended group for this interview?","deviceID00000010","Non-displaced",0.0833333333333333,NA,0,0.194549511623923,"state","NG008"
"12","deviceid","What is the intended group for this interview?","deviceID00000010","Returnees",0.0555555555555556,NA,0,0.13081468613901,"state","NG008"
"13","deviceid","What is the intended group for this interview?","deviceID00000009","Internally Displaced Persons (IDPs)",0.222222222222222,NA,0.064498100395673,0.379946344048771,"state","NG008"
"14","deviceid","What is the intended group for this interview?","deviceID00000009","Non-displaced",0.0416666666666667,NA,0,0.122075830720949,"state","NG008"
"15","deviceid","What is the intended group for this interview?","deviceID00000009","Returnees",0.111111111111111,NA,0.0078564357981685,0.214365786424054,"state","NG008"
